Expression,HHHH,HHHM,HHHN,HHMH,HHMM,HHMN,HHNH,HHNM,HHNN,HMHH,HMHM,HMHN,HMMH,HMMM,HMMN,HMNH,HMNM,HMNN,HNHH,HNHM,HNHN,HNMH,HNMM,HNMN,HNNH,HNNM,HNNN,MHHH,MHHM,MHHN,MHMH,MHMM,MHMN,MHNH,MHNM,MHNN,MMHH,MMHM,MMHN,MMMH,MMMM,MMMN,MMNH,MMNM,MMNN,MNHH,MNHM,MNHN,MNMH,MNMM,MNMN,MNNH,MNNM,MNNN,NHHH,NHHM,NHHN,NHMH,NHMM,NHMN,NHNH,NHNM,NHNN,NMHH,NMHM,NMHN,NMMH,NMMM,NMMN,NMNH,NMNM,NMNN,NNHH,NNHM,NNHN,NNMH,NNMM,NNMN,NNNH,NNNM,NNNN
N_p4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
H_p4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
p1_p2==11,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123,1.123,1.123,1.123,1.123,1.123,1.123
p1_p3==11,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123
p1_p4==11,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123
p2_p3==11,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123,1.626,1.626,1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.123,1.123,1.123
p2_p4==11,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123,1.626,0.0,0.0,1.626,0.0,0.0,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.141,0.0,0.0,0.0,1.123,0.0,0.0,1.123,0.0,0.0,1.123
p3_p4==11,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123,1.626,0.0,0.0,0.0,0.141,0.0,0.0,0.0,1.123
p1_p2==12,0.7407,0.7407,0.7407,0.7407,0.7407,0.7407,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.08845,0.08845,0.08845,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947,0.4947,0.4947,0.4947,0.4947,0.4947,0.4947
p1_p3==12,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947
p1_p4==12,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947
p2_p3==12,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947,0.7407,0.7407,0.7407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08845,0.08845,0.08845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4947,0.4947,0.4947
p2_p4==12,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947,0.7407,0.0,0.0,0.7407,0.0,0.0,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.0,0.0,0.4947,0.0,0.0,0.4947
p3_p4==12,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947,0.7407,0.0,0.0,0.0,0.08845,0.0,0.0,0.0,0.4947
p1_p2==13,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.4273,0.4273,0.4273,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523,0.5523,0.5523,0.5523,0.5523,0.5523,0.5523
p1_p3==13,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523
p1_p4==13,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523
p2_p3==13,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523,1.183,1.183,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4273,0.4273,0.4273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.5523,0.5523
p2_p4==13,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523,1.183,0.0,0.0,1.183,0.0,0.0,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,0.0,0.0,0.5523,0.0,0.0,0.5523
p3_p4==13,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523,1.183,0.0,0.0,0.0,0.4273,0.0,0.0,0.0,0.5523
p1_p2==14,0.9436,0.9436,0.9436,0.9436,0.9436,0.9436,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186,0.02186,0.02186,0.02186,0.02186,0.02186,0.02186
p1_p3==14,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186
p1_p4==14,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186
p2_p3==14,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186,0.9436,0.9436,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.02186,0.02186
p2_p4==14,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186,0.9436,0.0,0.0,0.9436,0.0,0.0,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.0,0.0,0.02186,0.0,0.0,0.02186
p3_p4==14,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186,0.9436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02186
p1_p2==15,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.3115,0.3115,0.3115,0.3115,0.3115,0.3115,0.3115,0.3115
p1_p3==15,1.298,1.298,1.298,0.0,0.0,0.0,0.0,0.0,0.0,1.298,1.298,1.298,0.0,0.0,0.0,0.0,0.0,0.0,1.298,1.298,1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.3115,0.3115,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.3115,0.3115,0.0,0.0,0.0,0.0,0.0,0.0,0.3115,0.3115,0.3115
