"home_zone_id","hhsize","num_workers","hincp","hht","sample_rate","income_in_thousands","income_segment","non_family","family","num_drivers","num_school_children","num_young_adults","num_young_retirees","num_old_retirees","num_young_children","num_adults","num_children","num_nondriving_age_children","num_children_under19","num_children_less_16","num_children_16plus","num_fullTime_workers","num_partTime_workers","num_students","num_nonworker_adults","num_predrive_child","is_low_income","is_medium_income","is_high_income","is_very_high_income","retired_adults_only_hh","areatype","CBDFlag","I_PCTLT10K","I_PCT10TO20","I_PCT20TO40","I_PCTGT40","PARKRATE","PROPFREE","RetailEmp30","is_CBD","is_urban","is_suburban","auto_ownership","hh_work_auto_savings_ratio","worker_rail_proportion","student_rail_proportion","num_travel_active","num_travel_active_adults","num_travel_active_preschoolers","num_travel_active_children","num_travel_active_non_preschoolers","num_under16_not_at_school","participates_in_jtf_model","joint_tour_frequency","num_hh_joint_tours","household_id"
117,1,1,143400,4,0.004,139.01507663099463,5,true,false,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,false,false,false,true,false,3,0,1.05,1.17,2.1,95.68,0,0,0,false,true,false,2,0.03083334,0,0,1,1,0,0,1,0,false,"0_tours",0,54342
112,2,2,82000,1,0.004,79.49258217392999,4,false,true,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,false,false,true,false,false,5,0,0.46,0.77,6.18,92.58,0,0,0,false,false,true,2,0.98891675,0,0,2,2,0,0,2,0,true,"0_tours",0,50912
106,4,4,340000,1,0.004,329.6033895016609,5,false,true,4,0,2,0,0,0,4,0,0,0,0,4,4,0,0,0,0,false,false,false,true,false,5,0,2.13,3.09,3.41,91.37,0,0,0,false,false,true,3,0.53,0,0,1,1,0,0,1,0,false,"0_tours",0,46056
116,5,1,169710,1,0.004,164.52056244802023,5,false,true,2,2,0,0,0,1,2,3,3,3,3,2,1,0,3,1,2,false,false,false,true,false,4,0,1.52,1.22,3.96,93.29,0,0,0,false,false,true,2,0.60475004,0,0,5,2,1,3,4,1,true,"1_Main",1,53716
103,3,2,165000,1,0.004,159.95458608168838,5,false,true,2,1,0,0,0,0,2,1,1,1,1,2,2,0,1,0,1,false,false,false,true,false,5,0,0.69,0.69,8.34,90.28,0,0,0,false,false,true,2,0.8515833,0,0,3,2,0,1,3,0,true,"1_Disc",1,43843
131,2,1,66800,1,0.004,64.75737181973808,4,false,true,2,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,false,false,true,false,false,2,0,4.23,8.61,22.77,64.38,0,0,0,false,true,false,1,-0.08133333,0,0,0,0,0,0,0,0,false,"0_tours",0,62701
135,5,2,151000,1,0.004,146.38268180809058,5,false,true,2,3,0,0,0,0,2,3,3,3,3,2,1,1,3,0,3,false,false,false,true,false,3,0,3.1,1.77,9.53,85.59,0,0,0,false,true,false,3,0.02100002,0,0,5,2,0,3,5,0,true,"1_Disc",1,63802
105,2,2,85000,5,0.004,82.40084737541522,4,true,false,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,false,false,true,false,false,5,0,0.34,0.68,3.77,95.21,0,0,0,false,false,true,2,1.9640834,0,0,2,2,0,0,2,0,true,"0_tours",0,45311
110,2,1,62000,1,0.004,60.104147497361694,4,false,true,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,false,false,true,false,false,5,0,0.96,1.91,6.46,90.67,0,0,0,false,false,true,2,1,0.4116285,0.39506173,2,2,0,0,2,0,true,"0_tours",0,49258
103,1,1,37500,6,0.004,36.35331501856554,3,true,false,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,false,true,false,false,false,5,0,0.69,0.69,8.34,90.28,0,0,0,false,false,true,1,0.12633334,0,0,1,1,0,0,1,0,false,"0_tours",0,42730
104,2,2,98000,1,0.004,95.00332991518462,4,false,true,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,false,false,true,false,false,4,0,0.68,0.75,6.31,92.27,0,0,0,false,false,true,2,0.1293333,0,0,0,0,0,0,0,0,false,"0_tours",0,44776
103,4,2,150000,1,0.004,145.41326007426215,5,false,true,3,1,1,0,0,0,3,1,1,2,1,3,2,0,2,0,1,false,false,false,true,false,5,0,0.69,0.69,8.34,90.28,0,0,0,false,false,true,3,1.1263334,0.3744442,0,4,3,0,1,4,0,true,"1_Eat",1,43832
110,3,1,68000,3,0.004,65.92067790033218,4,false,true,1,2,0,0,0,0,1,2,2,2,2,1,1,0,2,0,2,false,false,true,false,false,5,0,0.96,1.91,6.46,90.67,0,0,0,false,false,true,1,0.90508336,0,0,3,1,0,2,3,0,true,"0_tours",0,49030
101,1,1,143400,4,0.004,139.01507663099463,5,true,false,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,false,false,false,true,false,3,0,1.29,1.02,4.74,92.95,0,0,0,false,true,false,1,0.08733333,0,0,1,1,0,0,1,0,false,"0_tours",0,41645
