proto_household_id,proto_person_id,purpose,tour_num,person_num,tour_category,tour_type
1,1,2,1,1,non_mandatory,shopping
1,1,3,1,1,non_mandatory,othdiscr
2,2,2,1,1,non_mandatory,shopping
2,2,3,1,1,non_mandatory,othdiscr
3,3,2,1,1,non_mandatory,shopping
3,3,3,1,1,non_mandatory,othdiscr
4,4,2,1,1,non_mandatory,shopping
4,4,3,1,1,non_mandatory,othdiscr
5,5,2,1,1,non_mandatory,shopping
5,5,3,1,1,non_mandatory,othdiscr
6,6,2,1,1,non_mandatory,shopping
6,6,3,1,1,non_mandatory,othdiscr
7,7,2,1,1,non_mandatory,shopping
7,7,3,1,1,non_mandatory,othdiscr
8,8,2,1,1,non_mandatory,shopping
8,8,3,1,1,non_mandatory,othdiscr
9,9,2,1,1,non_mandatory,shopping
9,9,3,1,1,non_mandatory,othdiscr
10,10,2,1,1,non_mandatory,shopping
10,10,3,1,1,non_mandatory,othdiscr
11,11,2,1,1,non_mandatory,shopping
11,11,3,1,1,non_mandatory,othdiscr
12,12,2,1,1,non_mandatory,shopping
12,12,3,1,1,non_mandatory,othdiscr
13,13,1,1,1,mandatory,work
13,14,2,1,2,non_mandatory,shopping
13,14,3,1,2,non_mandatory,othdiscr
14,15,1,1,1,mandatory,work
14,16,2,1,2,non_mandatory,shopping
14,16,3,1,2,non_mandatory,othdiscr
15,17,1,1,1,mandatory,work
15,18,2,1,2,non_mandatory,shopping
15,18,3,1,2,non_mandatory,othdiscr
16,19,1,1,1,mandatory,work
16,20,2,1,2,non_mandatory,shopping
16,20,3,1,2,non_mandatory,othdiscr
17,21,1,1,1,mandatory,work
17,22,2,1,2,non_mandatory,shopping
17,22,3,1,2,non_mandatory,othdiscr
18,23,1,1,1,mandatory,work
18,24,2,1,2,non_mandatory,shopping
18,24,3,1,2,non_mandatory,othdiscr
19,25,1,1,1,mandatory,work
19,26,2,1,2,non_mandatory,shopping
19,26,3,1,2,non_mandatory,othdiscr
20,27,1,1,1,mandatory,work
20,28,2,1,2,non_mandatory,shopping
20,28,3,1,2,non_mandatory,othdiscr
21,29,1,1,1,mandatory,work
21,30,2,1,2,non_mandatory,shopping
21,30,3,1,2,non_mandatory,othdiscr
22,31,1,1,1,mandatory,work
22,32,2,1,2,non_mandatory,shopping
22,32,3,1,2,non_mandatory,othdiscr
23,33,1,1,1,mandatory,work
23,34,2,1,2,non_mandatory,shopping
23,34,3,1,2,non_mandatory,othdiscr
24,35,1,1,1,mandatory,work
24,36,2,1,2,non_mandatory,shopping
24,36,3,1,2,non_mandatory,othdiscr
