escort,shopping,othmaint,othdiscr,eatout,social
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,1,0
0,0,0,1,1,0
0,0,0,0,1,1
0,0,0,1,1,1
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,0,0,1
0,0,1,1,0,1
0,0,1,0,1,0
0,0,1,1,1,0
0,0,1,0,1,1
0,0,1,1,1,1
0,1,0,0,0,0
0,1,0,1,0,0
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,0,1,0
0,1,0,1,1,0
0,1,0,0,1,1
0,1,0,1,1,1
0,1,1,0,0,0
0,1,1,1,0,0
0,1,1,0,0,1
0,1,1,1,0,1
0,1,1,0,1,0
0,1,1,1,1,0
0,1,1,0,1,1
0,1,1,1,1,1
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,1
1,0,0,1,0,1
1,0,0,0,1,0
1,0,0,1,1,0
1,0,0,0,1,1
1,0,0,1,1,1
1,0,1,0,0,0
1,0,1,1,0,0
1,0,1,0,0,1
1,0,1,1,0,1
1,0,1,0,1,0
1,0,1,1,1,0
1,0,1,0,1,1
1,0,1,1,1,1
1,1,0,0,0,0
1,1,0,1,0,0
1,1,0,0,0,1
1,1,0,1,0,1
1,1,0,0,1,0
1,1,0,1,1,0
1,1,0,0,1,1
1,1,0,1,1,1
1,1,1,0,0,0
1,1,1,1,0,0
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,0,1,1
1,1,1,1,1,1
2,0,0,0,0,0
2,0,0,1,0,0
2,0,0,0,0,1
2,0,0,1,0,1
2,0,0,0,1,0
2,0,0,1,1,0
2,0,0,0,1,1
2,0,0,1,1,1
2,0,1,0,0,0
2,0,1,1,0,0
2,0,1,0,0,1
2,0,1,1,0,1
2,0,1,0,1,0
2,0,1,1,1,0
2,0,1,0,1,1
2,0,1,1,1,1
2,1,0,0,0,0
2,1,0,1,0,0
2,1,0,0,0,1
2,1,0,1,0,1
2,1,0,0,1,0
2,1,0,1,1,0
2,1,0,0,1,1
2,1,0,1,1,1
2,1,1,0,0,0
2,1,1,1,0,0
2,1,1,0,0,1
2,1,1,1,0,1
2,1,1,0,1,0
2,1,1,1,1,0
2,1,1,0,1,1
2,1,1,1,1,1
# extension for flexible ids demonstration,,,,,
# should be removed for actual model run,,,,,
0,0,0,2,0,0
