proto_person_id,proto_household_id,educ,grade,military,pnum,pstudent,DAP,age,hours,pemploy,ptype,sex,weeks
1,1,13,0,4,1,3,N,70,0,3,4,1,0
2,2,13,0,4,1,3,N,70,0,3,4,1,0
3,3,13,0,4,1,3,N,70,0,3,4,1,0
4,4,13,0,4,1,3,N,70,0,3,4,1,0
5,5,13,0,4,1,3,N,70,0,3,4,1,0
6,6,13,0,4,1,3,N,70,0,3,4,1,0
7,7,13,0,4,1,3,N,70,0,3,4,1,0
8,8,13,0,4,1,3,N,70,0,3,4,1,0
9,9,13,0,4,1,3,N,70,0,3,4,1,0
10,10,13,0,4,1,3,N,70,0,3,4,1,0
11,11,13,0,4,1,3,N,70,0,3,4,1,0
12,12,13,0,4,1,3,N,70,0,3,4,1,0
13,13,13,0,4,1,3,M,35,35,1,1,2,1
14,13,13,0,4,2,3,N,55,0,3,4,1,0
15,14,13,0,4,1,3,M,35,35,1,1,2,1
16,14,13,0,4,2,3,N,55,0,3,4,1,0
17,15,13,0,4,1,3,M,35,35,1,1,2,1
18,15,13,0,4,2,3,N,55,0,3,4,1,0
19,16,13,0,4,1,3,M,35,35,1,1,2,1
20,16,13,0,4,2,3,N,55,0,3,4,1,0
21,17,13,0,4,1,3,M,35,35,1,1,2,1
22,17,13,0,4,2,3,N,55,0,3,4,1,0
23,18,13,0,4,1,3,M,35,35,1,1,2,1
24,18,13,0,4,2,3,N,55,0,3,4,1,0
25,19,13,0,4,1,3,M,35,35,1,1,2,1
26,19,13,0,4,2,3,N,55,0,3,4,1,0
27,20,13,0,4,1,3,M,35,35,1,1,2,1
28,20,13,0,4,2,3,N,55,0,3,4,1,0
29,21,13,0,4,1,3,M,35,35,1,1,2,1
30,21,13,0,4,2,3,N,55,0,3,4,1,0
31,22,13,0,4,1,3,M,35,35,1,1,2,1
32,22,13,0,4,2,3,N,55,0,3,4,1,0
33,23,13,0,4,1,3,M,35,35,1,1,2,1
34,23,13,0,4,2,3,N,55,0,3,4,1,0
35,24,13,0,4,1,3,M,35,35,1,1,2,1
36,24,13,0,4,2,3,N,55,0,3,4,1,0
