Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM
#Drive alone no toll,,,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Unavailable,sov_available == False,-999,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Unavailable for zero auto households,auto_ownership == 0,-999,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Unavailable for persons less than 16,age < 16,-999,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Unavailable for joint tours,is_joint == True,-999,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Unavailable if didn't drive to work,is_atwork_subtour & ~work_tour_is_SOV,-999,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - In-vehicle time,@c_ivt*(odt_skims['SOV_TIME'] + dot_skims['SOV_TIME']),1,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Terminal time,@c_walktimeshort * 2 * df.terminal_time,1,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Operating cost ,@df.c_cost * costPerMile * (odt_skims['SOV_DIST'] + dot_skims['SOV_DIST']),1,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Parking cost ,c_cost * daily_parking_cost,1,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Bridge toll ,@df.c_cost * (odt_skims['SOV_BTOLL'] + dot_skims['SOV_BTOLL']),1,,,,,,,,,,,,,,,,,
DRIVEALONEFREE - Person is between 16 and 19 years old,@c_age1619_da * ((df.age >= 16) & (df.age <= 19)),1,,,,,,,,,,,,,,,,,
#Drive alone toll,,,,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Unavailable,sovtoll_available == False,,-999,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Unavailable for zero auto households,auto_ownership == 0,,-999,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Unavailable for persons less than 16,age < 16,,-999,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Unavailable for joint tours,is_joint == True,,-999,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Unavailable if didn't drive to work,is_atwork_subtour & ~work_tour_is_SOV,,-999,,,,,,,,,,,,,,,,
DRIVEALONEPAY - In-vehicle time,@c_ivt*(odt_skims['SOVTOLL_TIME'] + dot_skims['SOVTOLL_TIME']),,1,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Terminal time,@c_walktimeshort * 2 * df.terminal_time,,1,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Operating cost,@df.c_cost * costPerMile * (odt_skims['SOVTOLL_DIST'] + dot_skims['SOVTOLL_DIST']),,1,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Parking cost,c_cost * daily_parking_cost,,1,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Bridge toll,@df.c_cost * (odt_skims['SOVTOLL_BTOLL'] + dot_skims['SOVTOLL_BTOLL']),,1,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Value toll,@df.c_cost * (odt_skims['SOVTOLL_VTOLL'] + dot_skims['SOVTOLL_VTOLL']),,1,,,,,,,,,,,,,,,,
DRIVEALONEPAY - Person is between 16 and 19 years old,@c_age1619_da * ((df.age >= 16) & (df.age <= 19)),,1,,,,,,,,,,,,,,,,
#Shared ride 2,,,,,,,,,,,,,,,,,,,
SHARED2FREE - Unavailable,hov2_available == False,,,-999,,,,,,,,,,,,,,,
SHARED2FREE - Unavailable based on party size,is_joint & (number_of_participants > 2),,,-999,,,,,,,,,,,,,,,
SHARED2FREE - In-vehicle time,@c_ivt * (odt_skims['HOV2_TIME'] + dot_skims['HOV2_TIME']),,,1,,,,,,,,,,,,,,,
SHARED2FREE - Terminal time,@c_walktimeshort * 2 * df.terminal_time,,,1,,,,,,,,,,,,,,,
SHARED2FREE - Operating cost,@df.c_cost * costPerMile * (odt_skims['HOV2_DIST'] + dot_skims['HOV2_DIST']),,,1,,,,,,,,,,,,,,,
SHARED2FREE - Parking cost,@df.c_cost * df.daily_parking_cost / costShareSr2,,,1,,,,,,,,,,,,,,,
SHARED2FREE - Bridge toll,@df.c_cost * (odt_skims['HOV2_BTOLL'] + dot_skims['HOV2_BTOLL']) / costShareSr2,,,1,,,,,,,,,,,,,,,
SHARED2FREE - One person household,@c_hhsize1_sr * (df.hhsize == 1),,,1,,,,,,,,,,,,,,,
SHARED2FREE - Two person household,@c_hhsize2_sr * (df.hhsize == 2),,,1,,,,,,,,,,,,,,,
SHARED2FREE - Person is 16 years old or older,@c_age16p_sr * (df.age >= 16),,,1,,,,,,,,,,,,,,,
#Shared ride 2 toll,,,,,,,,,,,,,,,,,,,
SHARED2PAY - Unavailable,hov2toll_available == False,,,,-999,,,,,,,,,,,,,,
SHARED2PAY - Unavailable based on party size,is_joint & (number_of_participants > 2),,,,-999,,,,,,,,,,,,,,
SHARED2PAY - In-vehicle time,@c_ivt * (odt_skims['HOV2TOLL_TIME'] + dot_skims['HOV2TOLL_TIME']),,,,1,,,,,,,,,,,,,,
SHARED2PAY - Terminal time,@c_walktimeshort * 2 * df.terminal_time,,,,1,,,,,,,,,,,,,,
SHARED2PAY - Operating cost,@df.c_cost * costPerMile * (odt_skims['HOV2TOLL_DIST'] + dot_skims['HOV2TOLL_DIST']),,,,1,,,,,,,,,,,,,,
SHARED2PAY - Parking cost,@df.c_cost * df.daily_parking_cost / costShareSr2,,,,1,,,,,,,,,,,,,,
