person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype
5385,5385,64,1,1,3,3,4
6972,6972,60,1,1,3,3,4
9510,9510,57,1,2,3,2,3
11710,11710,32,1,1,3,3,4
12127,12127,45,1,1,3,3,4
13036,13036,34,1,2,3,3,4
19422,19422,61,1,2,3,3,4
21536,21536,57,1,2,3,3,4
29879,29879,54,1,1,3,3,4
33561,33561,53,1,2,3,3,4
35858,35858,30,1,1,3,3,4
38166,38166,31,1,2,3,3,4
41475,41475,51,1,2,3,3,4
43571,43571,26,1,1,3,3,4
45068,45068,26,1,1,3,2,3
46184,46184,48,1,2,3,3,4
46698,46698,22,1,2,3,3,4
47131,47131,35,1,2,3,2,3
47162,47162,49,1,2,3,3,4
48085,48085,21,1,2,3,2,3
49045,49045,23,1,1,3,3,4
49985,49985,55,1,2,3,3,4
51008,51008,26,1,1,3,3,4
51783,51783,48,1,2,3,3,4
53657,53657,40,1,2,3,3,4
55322,55322,42,1,1,3,3,4
56499,56499,39,1,1,3,3,4
56800,56800,49,1,1,3,3,4
57634,57634,50,1,2,3,3,4
57879,57879,63,1,1,3,3,4
58458,58458,45,1,1,3,3,4
59040,59040,39,1,1,3,2,3
62765,62765,20,1,1,3,2,3
67064,67064,56,1,2,3,3,4
68850,68850,50,1,2,3,3,4
70653,70653,51,1,1,3,3,4
71028,71028,45,1,2,3,3,4
72551,72551,60,1,2,2,3,2
76016,76016,26,1,2,2,2,3
76318,76318,53,1,1,1,3,1
80182,80182,52,1,1,1,3,1
81446,81446,54,1,2,2,3,2
82997,82997,38,1,1,2,3,2
84825,84825,41,1,2,1,3,1
85057,85057,53,1,2,1,3,1
89079,89079,40,1,2,1,3,1
92191,92191,44,1,2,1,3,1
93360,93360,60,1,2,2,3,2
93769,93769,45,1,2,1,3,1
94334,94334,37,1,2,1,3,1
94518,94518,35,1,2,1,3,1
96439,96439,60,1,2,1,3,1
98281,98281,27,1,2,1,3,1
98649,98649,53,1,2,1,3,1
99858,99858,61,1,2,1,3,1
100014,100014,52,1,2,1,3,1
100421,100421,29,1,1,1,3,1
100601,100601,54,1,1,1,3,1
101516,101516,52,1,2,1,3,1
101923,101923,54,1,2,1,3,1
102333,102333,45,1,2,2,3,2
102645,102645,56,1,1,2,3,2
103107,103107,53,1,1,1,3,1
103349,103349,57,1,2,1,3,1
104277,104277,56,1,2,1,3,1
104321,104321,20,1,1,1,3,1
104644,104644,56,1,1,1,3,1
105191,105191,22,1,1,1,3,1
105963,105963,42,1,2,1,3,1
106669,106669,48,1,2,2,3,2
106947,106947,37,1,2,1,3,1
109922,109922,24,1,2,1,3,1
110689,110689,46,1,1,2,3,2
111422,111422,56,1,1,1,3,1
112371,112371,51,1,1,1,3,1
114180,114180,42,1,1,1,3,1
114340,114340,50,1,1,2,3,2
114749,114749,37,1,1,2,3,2
118008,118008,25,1,1,2,3,2
120848,120848,33,1,2,1,3,1
124957,124957,51,1,1,2,3,2
125921,125921,29,1,2,1,3,1
133122,133122,56,1,2,1,3,1
135222,135222,22,1,1,2,2,3
136811,136811,23,1,1,1,3,1
136986,136986,46,1,1,2,3,2
140296,140296,32,1,1,1,3,1
141397,141397,30,1,2,1,3,1
143015,143015,28,1,1,1,3,1
143787,143787,59,1,2,1,3,1
145045,145045,27,1,2,2,3,2
145081,145081,40,1,1,1,3,1
145574,145574,45,1,2,2,3,2
148331,148331,43,1,1,1,3,1
148501,148501,41,1,2,1,3,1
148788,148788,42,1,2,1,3,1
149095,149095,28,1,2,2,3,2
154162,154162,28,1,1,1,3,1
154631,154631,32,1,2,1,3,1
154881,154881,44,1,1,1,3,1
156611,156611,22,1,2,2,3,2
159898,159898,33,1,2,1,3,1
159907,159907,39,1,2,2,3,2
160476,160476,54,1,2,2,3,2
164046,164046,56,1,2,1,3,1
164168,164168,59,1,2,2,3,2
165085,165085,32,1,1,1,3,1
166786,166786,51,1,1,2,3,2
