Description,Expression,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_ALLTRN,WALK_PRMTRN,PNR_ALLTRN,PNR_PRMTRN,KNR_ALLTRN,KNR_PRMTRN,SCHOOL_BUS
#SOV FREE,,,,,,,,,,,,,,,,
SOVFREE  - Unavailable for 0 auto HH,auto_ownership == 0,-999,,,,,,,,,,,,,,
SOVFREE - Unavailable for persons with age < 16,is_predrive == True,-999,,,,,,,,,,,,,,
SOVFREE - Unavailable for work subtour if didn't drive to work,is_atwork_subtour & ~work_tour_is_SOV,-999,,,,,,,,,,,,,,
SOVFREE - In-vehicle time,@coef_ivt*(odt_skims['SOV_FREE_TIME']+dot_skims['SOV_FREE_TIME']),1,,,,,,,,,,,,,,
SOVFREE - Operating cost,@df.coef_cost*(costPerMile*(odt_skims['SOV_FREE_DISTANCE']+dot_skims['SOV_FREE_DISTANCE'])+100*odt_skims['SOV_FREE_TOLL']+100*dot_skims['SOV_FREE_TOLL']),1,,,,,,,,,,,,,,
SOVFREE - Parking cost (need to apply CT RAMP Filter - (@freeParking==2)),@df.pay_to_park * df.coef_cost * cost_parking * df.PARKRATE * 100,1,,,,,,,,,,,,,,
SOVFREE - Person's age 16-22,@coef_da_age1622 * df.is_age1622,1,,,,,,,,,,,,,,
SOVFREE - Person is homemaker,@coef_da_hmmake * df.is_nonworker_adult,1,,,,,,,,,,,,,,
SOVFREE - Person's age 16-17,@coef_da_age1617 * df.is_age1617,1,,,,,,,,,,,,,,
SOVFREE - University (CTRAMP expression looks odd to me - see Row 160 on University Tab),(auto_ownership == 0) & is_predrive,1,,,,,,,,,,,,,,
SOVFREE - Person is worker,@coef_da_worker * df.is_worker,1,,,,,,,,,,,,,,
SOVFREE - Person's age 40-59,@coef_da_age4059 * df.is_age4059,1,,,,,,,,,,,,,,
SOVFREE - Person's age 60-79,@coef_da_age6079 * df.is_age6079,1,,,,,,,,,,,,,,
SOVFREE - Person is non-working adult,@coef_da_nonWrkAdlt * df.is_nonworker_adult,1,,,,,,,,,,,,,,
SOVFREE - Od distance < 5 miles,@coef_da_odDistLess5Mile * (odt_skims['SOV_FREE_DISTANCE']<5) * (dot_skims['SOV_FREE_DISTANCE']<5),1,,,,,,,,,,,,,,
SOVFREE - Joint tour and number of participants == 2,is_joint & (number_of_participants == 2),-999,,,,,,,,,,,,,,
SOVFREE - Joint tour and number of participants > 2,is_joint & (number_of_participants > 2),-999,,,,,,,,,,,,,,
SOVFREE - Tour purpose is shopping,@coef_da_tourPur_Shp * (df.is_shopping),1,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# SOV PAY,,,,,,,,,,,,,,,,
SOVPAY - Unavailable if toll distance = 0,SOV_PAY_Available==False,,-999,,,,,,,,,,,,,
SOVPAY - Unavailable for 0 auto HH,auto_ownership == 0,,-999,,,,,,,,,,,,,
