Description,Expression,work,univ,school,escort,shopping,eatout,othmaint,social,othdiscr,atwork
All - Sample of alternatives correction factor,"@np.minimum(np.log(df.pick_count/df.prob), 60)",1,1,1,1,1,1,1,1,1,1
All - Mode choice logsum from origin to stop,od_logsum,1.821,1.821,1.821,1.821,1.821,1.821,1.821,1.821,1.821,1.821
All - Can't access stop zone by this tour mode,(od_logsum < -100),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
All - Mode choice logsum from stop to destination,dp_logsum,1.821,1.821,1.821,1.821,1.821,1.821,1.821,1.821,1.821,1.821
All - Can't access destination zone by this tour mode,(dp_logsum < -100),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
All - Tour origin zone,@(df.origin == df.dest_zone_id),0.7112,0.7112,0.7112,0.7112,0.7112,0.7112,0.7112,0.7112,0.7112,0.7112
All - Tour destinatoin zone,@(df.destination == df.dest_zone_id),1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037,1.037
"# dest_zone_id is not available in the preprocessor file and reindex is not available here, so the expression was commented out. Similar expression was commented out in the ActivitySim example file as well. ",,,,,,,,,,,
# All - CBD area type,"@reindex(land_use.areatype, df.dest_zone_id) == 1",-0.285,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285,-0.285
All - Size variable ,"@np.log1p(size_terms.get(df.dest_zone_id, df.purpose)) # sharrow: np.log1p(size_terms['sizearray'])",1,1,1,1,1,1,1,1,1,1
All - No attractions,"@size_terms.get(df.dest_zone_id, df.purpose) == 0 # sharrow: size_terms['sizearray'] == 0",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
#Applied the conventions used in the destination sample file,,,,,,,,,,,
,"_org_to_stop_dist@od_skims[('SOV_FREE_DISTANCE', 'MD')]",1,1,1,1,1,1,1,1,1,1
,"_stop_to_dest_dist@dp_skims[('SOV_FREE_DISTANCE', 'MD')]",1,1,1,1,1,1,1,1,1,1
,"_od_distance@op_skims[('SOV_FREE_DISTANCE', 'MD')]",1,1,1,1,1,1,1,1,1,1
#WORK,,,,,,,,,,,
WORK - Distance squared,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 2)",0.0026,,,,,,,,,
WORK - Distance cubed,"@((od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ** 3)",-0.0000109,,,,,,,,,
WORK - Log of distance,"@np.log(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",-0.3218,,,,,,,,,
WORK - Distance - return half tour,"@(~df.outbound) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",0.00873,,,,,,,,,
"#sequential stop number is not available in ActivitySim, so use trip_num",,,,,,,,,,,
WORK - Distance - 2nd stop of half tour,"@(df.trip_num == 2) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",-0.00269,,,,,,,,,
WORK - Distance - 3rd+ stop on half tour,"@(df.trip_num > 3) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.01045,,,,,,,,,
WORK - Distance - shared ride tour,"@(df.tour_mode_is_shared_ride) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",0.002442,,,,,,,,,
WORK - Distance - walk/bike tour,"@((df.tour_mode=='WALK')|(df.tour_mode=='BIKE')) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')])",-0.01308,,,,,,,,,
WORK - Distance - transit tour,"@((df.tour_mode_is_transit) * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]))",0,,,,,,,,,
WORK - Distance - work stop purpose,"@(df.purpose == 'work') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.195,,,,,,,,,
WORK - Distance - escort stop purpose,"@(df.purpose == 'escort') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.2596,,,,,,,,,
WORK - Distance - shopping stop purpose,"@(df.purpose == 'shopping') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.286,,,,,,,,,
WORK - Distance - eat out stop purpose,"@(df.purpose == 'eatout') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.2927,,,,,,,,,
WORK - Distance - other maintenance stop purpose,"@(df.purpose == 'othmaint') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.2196,,,,,,,,,
WORK - Distance - social/visiting stop purpose,"@(df.purpose == 'social') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.3061,,,,,,,,,
WORK - Distance - other discretionary stop purpose,"@(df.purpose == 'othdiscr') * (od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",-0.2999,,,,,,,,,
WORK - Distance (calibration adjustment),"@(od_skims[('SOV_FREE_DISTANCE', 'MD')] + dp_skims[('SOV_FREE_DISTANCE', 'MD')]) ",0.1877,,,,,,,,,
WORK - constant for transit tours (stop w/in walking distance of home,"@np.where(((~df.outbound) & (df.trip_num==1) & (od_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",-3,,,,,,,,,
WORK - constant for transit tours (stop w/in walking distance of prim dest,"@np.where(((df.outbound) & (df.trip_num==1) & (dp_skims[('SOV_FREE_DISTANCE', 'MD')]<3) & (df.tour_mode_is_transit)), 1, 0)",-5,,,,,,,,,
WORK - OOD Distance,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10) > 0, np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10), 0)",1.1,,,,,,,,,
WORK - OOD Distance squared,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10)) ** 2, 0)",-0.1906899,,,,,,,,,
WORK - OOD Distance cubed,"@np.where (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10)) ** 3, 0)",0.0091819,,,,,,,,,
WORK - Log of OOD distance,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50) > 0, (np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 50)).apply(np.log1p), 0)",-0.7371159,,,,,,,,,
WORK - Negative OOD,"@np.where(np.minimum((_org_to_stop_dist + _stop_to_dest_dist - _od_distance), 10) < 0, 1, 0)",1.119608865,,,,,,,,,
"# Distance differs by purpose, so separate expressions are required",,,,,,,,,,,
# UNIVERSITY ,,,,,,,,,,,
