coefficient_name,work,univ,school,shopping,othmaint,othdiscr,eatout,social,escort,atwork
coef_ivt,coef_ivt_work,coef_ivt_univ,coef_ivt_school,coef_ivt_nonmandatory,coef_ivt_nonmandatory,coef_ivt_nonmandatory,coef_ivt_nonmandatory,coef_ivt_nonmandatory,coef_ivt_nonmandatory,coef_ivt_atwork
coef_ovt,coef_ovt_work,coef_ovt_univ,coef_ovt_school,coef_ovt_nonmandatory,coef_ovt_nonmandatory,coef_ovt_nonmandatory,coef_ovt_nonmandatory,coef_ovt_nonmandatory,coef_ovt_nonmandatory,coef_ovt_atwork
coef_cost_low,coef_cost_low_work,coef_cost_low_univ,coef_cost_low_school,coef_cost_low_nonmandatory,coef_cost_low_nonmandatory,coef_cost_low_nonmandatory,coef_cost_low_nonmandatory,coef_cost_low_nonmandatory,coef_cost_low_nonmandatory,coef_cost_low_atwork
coef_cost_med,coef_cost_med_work,coef_cost_med_univ,coef_cost_med_school,coef_cost_med_nonmandatory,coef_cost_med_nonmandatory,coef_cost_med_nonmandatory,coef_cost_med_nonmandatory,coef_cost_med_nonmandatory,coef_cost_med_nonmandatory,coef_cost_med_atwork
coef_cost_high,coef_cost_high_work,coef_cost_high_univ,coef_cost_high_school,coef_cost_high_nonmandatory,coef_cost_high_nonmandatory,coef_cost_high_nonmandatory,coef_cost_high_nonmandatory,coef_cost_high_nonmandatory,coef_cost_high_nonmandatory,coef_cost_high_atwork
coef_firstWaitShort,coef_firstWaitShort_work,coef_firstWaitShort_univ,coef_firstWaitShort_school,coef_firstWaitShort_nonmandatory,coef_firstWaitShort_nonmandatory,coef_firstWaitShort_nonmandatory,coef_firstWaitShort_nonmandatory,coef_firstWaitShort_nonmandatory,coef_firstWaitShort_nonmandatory,coef_firstWaitShort_atwork
coef_firstWaitLong,coef_firstWaitLong_work,coef_firstWaitLong_univ,coef_firstWaitLong_school,coef_firstWaitLong_nonmandatory,coef_firstWaitLong_nonmandatory,coef_firstWaitLong_nonmandatory,coef_firstWaitLong_nonmandatory,coef_firstWaitLong_nonmandatory,coef_firstWaitLong_nonmandatory,coef_firstWaitLong_atwork
coef_xferWait,coef_xferWait_work,coef_xferWait_univ,coef_xferWait_school,coef_xferWait_nonmandatory,coef_xferWait_nonmandatory,coef_xferWait_nonmandatory,coef_xferWait_nonmandatory,coef_xferWait_nonmandatory,coef_xferWait_nonmandatory,coef_xferWait_atwork
coef_walkTimeShort,coef_walkTimeShort_work,coef_walkTimeShort_univ,coef_walkTimeShort_school,coef_walkTimeShort_nonmandatory,coef_walkTimeShort_nonmandatory,coef_walkTimeShort_nonmandatory,coef_walkTimeShort_nonmandatory,coef_walkTimeShort_nonmandatory,coef_walkTimeShort_nonmandatory,coef_walkTimeShort_atwork
coef_walkTimeLong,coef_walkTimeLong_work,coef_walkTimeLong_univ,coef_walkTimeLong_school,coef_walkTimeLong_nonmandatory,coef_walkTimeLong_nonmandatory,coef_walkTimeLong_nonmandatory,coef_walkTimeLong_nonmandatory,coef_walkTimeLong_nonmandatory,coef_walkTimeLong_nonmandatory,coef_walkTimeLong_atwork
coef_bikeTime,coef_bikeTime_work,coef_bikeTime_univ,coef_bikeTime_school,coef_bikeTime_nonmandatory,coef_bikeTime_nonmandatory,coef_bikeTime_nonmandatory,coef_bikeTime_nonmandatory,coef_bikeTime_nonmandatory,coef_bikeTime_nonmandatory,coef_bikeTime_atwork
coef_pnrTime,coef_pnrTime_work,coef_pnrTime_univ,coef_pnrTime_school,coef_pnrTime_nonmandatory,coef_pnrTime_nonmandatory,coef_pnrTime_nonmandatory,coef_pnrTime_nonmandatory,coef_pnrTime_nonmandatory,coef_pnrTime_nonmandatory,coef_pnrTime_atwork
coef_knrTime,coef_knrTime_work,coef_knrTime_univ,coef_knrTime_school,coef_knrTime_nonmandatory,coef_knrTime_nonmandatory,coef_knrTime_nonmandatory,coef_knrTime_nonmandatory,coef_knrTime_nonmandatory,coef_knrTime_nonmandatory,coef_knrTime_atwork
CBD_sub,CBD_sub_work,CBD_sub_univ,CBD_sub_school,CBD_sub_nonmandatory,CBD_sub_nonmandatory,CBD_sub_nonmandatory,CBD_sub_nonmandatory,CBD_sub_nonmandatory,CBD_sub_nonmandatory,CBD_sub_atwork
cost_parking,cost_parking_work,cost_parking_univ,cost_parking_school,cost_parking_nonmandatory,cost_parking_nonmandatory,cost_parking_nonmandatory,cost_parking_nonmandatory,cost_parking_nonmandatory,cost_parking_nonmandatory,cost_parking_atwork
costPerMile,costPerMile_work,costPerMile_univ,costPerMile_school,costPerMile_nonmandatory,costPerMile_nonmandatory,costPerMile_nonmandatory,costPerMile_nonmandatory,costPerMile_nonmandatory,costPerMile_nonmandatory,costPerMile_atwork
firstWaitThresh,firstWaitThresh_work,firstWaitThresh_univ,firstWaitThresh_school,firstWaitThresh_nonmandatory,firstWaitThresh_nonmandatory,firstWaitThresh_nonmandatory,firstWaitThresh_nonmandatory,firstWaitThresh_nonmandatory,firstWaitThresh_nonmandatory,firstWaitThresh_atwork
walkThresh,walkThresh_work,walkThresh_univ,walkThresh_school,walkThresh_nonmandatory,walkThresh_nonmandatory,walkThresh_nonmandatory,walkThresh_nonmandatory,walkThresh_nonmandatory,walkThresh_nonmandatory,walkThresh_atwork
walkSpeed,walkSpeed_work,walkSpeed_univ,walkSpeed_school,walkSpeed_nonmandatory,walkSpeed_nonmandatory,walkSpeed_nonmandatory,walkSpeed_nonmandatory,walkSpeed_nonmandatory,walkSpeed_nonmandatory,walkSpeed_atwork
bikeSpeed,bikeSpeed_work,bikeSpeed_univ,bikeSpeed_school,bikeSpeed_nonmandatory,bikeSpeed_nonmandatory,bikeSpeed_nonmandatory,bikeSpeed_nonmandatory,bikeSpeed_nonmandatory,bikeSpeed_nonmandatory,bikeSpeed_atwork
schoolBusSpeed,schoolBusSpeed_work,schoolBusSpeed_univ,schoolBusSpeed_school,schoolBusSpeed_nonmandatory,schoolBusSpeed_nonmandatory,schoolBusSpeed_nonmandatory,schoolBusSpeed_nonmandatory,schoolBusSpeed_nonmandatory,schoolBusSpeed_nonmandatory,schoolBusSpeed_atwork
schoolBusOvt,schoolBusOvt_work,schoolBusOvt_univ,schoolBusOvt_school,schoolBusOvt_nonmandatory,schoolBusOvt_nonmandatory,schoolBusOvt_nonmandatory,schoolBusOvt_nonmandatory,schoolBusOvt_nonmandatory,schoolBusOvt_nonmandatory,schoolBusOvt_atwork
expr,expr_work,expr_univ,expr_school,expr_nonmandatory,expr_nonmandatory,expr_nonmandatory,expr_nonmandatory,expr_nonmandatory,expr_nonmandatory,expr_atwork
hrt,hrt_work,hrt_univ,hrt_school,hrt_nonmandatory,hrt_nonmandatory,hrt_nonmandatory,hrt_nonmandatory,hrt_nonmandatory,hrt_nonmandatory,hrt_atwork
lrt,lrt_work,lrt_univ,lrt_school,lrt_nonmandatory,lrt_nonmandatory,lrt_nonmandatory,lrt_nonmandatory,lrt_nonmandatory,lrt_nonmandatory,lrt_atwork
brt,brt_work,brt_univ,brt_school,brt_nonmandatory,brt_nonmandatory,brt_nonmandatory,brt_nonmandatory,brt_nonmandatory,brt_nonmandatory,brt_atwork
crl,crl_work,crl_univ,crl_school,crl_nonmandatory,crl_nonmandatory,crl_nonmandatory,crl_nonmandatory,crl_nonmandatory,crl_nonmandatory,crl_atwork
coef_da_age1622,coef_da_age1622_work,coef_da_age1622_univ,coef_da_age1622_school,coef_da_age1622_nonmandatory,coef_da_age1622_nonmandatory,coef_da_age1622_nonmandatory,coef_da_age1622_nonmandatory,coef_da_age1622_nonmandatory,coef_da_age1622_nonmandatory,coef_da_age1622_atwork
coef_da_hmmake,coef_da_hmmake_work,coef_da_hmmake_univ,coef_da_hmmake_school,coef_da_hmmake_nonmandatory,coef_da_hmmake_nonmandatory,coef_da_hmmake_nonmandatory,coef_da_hmmake_nonmandatory,coef_da_hmmake_nonmandatory,coef_da_hmmake_nonmandatory,coef_da_hmmake_atwork
coef_da_age1617,coef_da_age1617_work,coef_da_age1617_univ,coef_da_age1617_school,coef_da_age1617_nonmandatory,coef_da_age1617_nonmandatory,coef_da_age1617_nonmandatory,coef_da_age1617_nonmandatory,coef_da_age1617_nonmandatory,coef_da_age1617_nonmandatory,coef_da_age1617_atwork
coef_da_unversity,coef_da_unversity_work,coef_da_unversity_univ,coef_da_unversity_school,coef_da_unversity_nonmandatory,coef_da_unversity_nonmandatory,coef_da_unversity_nonmandatory,coef_da_unversity_nonmandatory,coef_da_unversity_nonmandatory,coef_da_unversity_nonmandatory,coef_da_unversity_atwork
coef_da_worker,coef_da_worker_work,coef_da_worker_univ,coef_da_worker_school,coef_da_worker_nonmandatory,coef_da_worker_nonmandatory,coef_da_worker_nonmandatory,coef_da_worker_nonmandatory,coef_da_worker_nonmandatory,coef_da_worker_nonmandatory,coef_da_worker_atwork
coef_da_age4059,coef_da_age4059_work,coef_da_age4059_univ,coef_da_age4059_school,coef_da_age4059_nonmandatory,coef_da_age4059_nonmandatory,coef_da_age4059_nonmandatory,coef_da_age4059_nonmandatory,coef_da_age4059_nonmandatory,coef_da_age4059_nonmandatory,coef_da_age4059_atwork
coef_da_age6079,coef_da_age6079_work,coef_da_age6079_univ,coef_da_age6079_school,coef_da_age6079_nonmandatory,coef_da_age6079_nonmandatory,coef_da_age6079_nonmandatory,coef_da_age6079_nonmandatory,coef_da_age6079_nonmandatory,coef_da_age6079_nonmandatory,coef_da_age6079_atwork
coef_da_nonWrkAdlt,coef_da_nonWrkAdlt_work,coef_da_nonWrkAdlt_univ,coef_da_nonWrkAdlt_school,coef_da_nonWrkAdlt_nonmandatory,coef_da_nonWrkAdlt_nonmandatory,coef_da_nonWrkAdlt_nonmandatory,coef_da_nonWrkAdlt_nonmandatory,coef_da_nonWrkAdlt_nonmandatory,coef_da_nonWrkAdlt_nonmandatory,coef_da_nonWrkAdlt_atwork
coef_da_odDistLess5Mile,coef_da_odDistLess5Mile_work,coef_da_odDistLess5Mile_univ,coef_da_odDistLess5Mile_school,coef_da_odDistLess5Mile_nonmandatory,coef_da_odDistLess5Mile_nonmandatory,coef_da_odDistLess5Mile_nonmandatory,coef_da_odDistLess5Mile_nonmandatory,coef_da_odDistLess5Mile_nonmandatory,coef_da_odDistLess5Mile_nonmandatory,coef_da_odDistLess5Mile_atwork
coef_da_tourPur_Shp,coef_da_tourPur_Shp_work,coef_da_tourPur_Shp_univ,coef_da_tourPur_Shp_school,coef_da_tourPur_Shp_nonmandatory,coef_da_tourPur_Shp_nonmandatory,coef_da_tourPur_Shp_nonmandatory,coef_da_tourPur_Shp_nonmandatory,coef_da_tourPur_Shp_nonmandatory,coef_da_tourPur_Shp_nonmandatory,coef_da_tourPur_Shp_atwork
coef_hov_hhsize1,coef_hov_hhsize1_work,coef_hov_hhsize1_univ,coef_hov_hhsize1_school,coef_hov_hhsize1_nonmandatory,coef_hov_hhsize1_nonmandatory,coef_hov_hhsize1_nonmandatory,coef_hov_hhsize1_nonmandatory,coef_hov_hhsize1_nonmandatory,coef_hov_hhsize1_nonmandatory,coef_hov_hhsize1_atwork
