participant_id,tour_id,household_id,person_id,participant_num
14429508701,144295087,1606646,3519392,1
14429508702,144295087,1606646,3519393,2
28367651801,283676518,2628704,6918939,1
28367651804,283676518,2628704,6918942,2
10079851903,100798519,1173905,2458502,1
10079851904,100798519,1173905,2458503,2
23366213301,233662133,2345549,5699076,1
23366213302,233662133,2345549,5699077,2
23366213303,233662133,2345549,5699078,3
23627625001,236276250,2366802,5762835,1
23627625002,236276250,2366802,5762836,2
23627625003,236276250,2366802,5762837,3
3472529303,34725293,432092,846960,1
3472529304,34725293,432092,846961,2
3472529305,34725293,432092,846962,3
26927604503,269276045,2550346,6567710,1
26927604504,269276045,2550346,6567711,2
23369497001,233694970,2345816,5699877,1
23369497002,233694970,2345816,5699878,2
8723083801,87230838,1089134,2127581,1
8723083802,87230838,1089134,2127582,2
8723083803,87230838,1089134,2127583,3
4310930501,43109305,474583,1051446,1
4310930502,43109305,474583,1051447,2
4310930503,43109305,474583,1051448,3
26957435901,269574359,2551946,6574984,1
26957435904,269574359,2551946,6574987,2
26957435906,269574359,2551946,6574989,3
3974927301,39749273,457500,969494,1
3974927302,39749273,457500,969495,2
3974927305,39749273,457500,969498,3
3974927306,39749273,457500,969499,4
3974927401,39749274,457500,969494,1
3974927402,39749274,457500,969495,2
3974927405,39749274,457500,969498,3
3974927406,39749274,457500,969499,4
4552083901,45520839,486243,1110264,1
4552083902,45520839,486243,1110265,2
4552083903,45520839,486243,1110266,3
4552083904,45520839,486243,1110267,4
11295993501,112959935,1235836,2755120,1
11295993502,112959935,1235836,2755121,2
11295993503,112959935,1235836,2755122,3
13661709901,136617099,1513012,3332124,1
13661709902,136617099,1513012,3332125,2
9315759302,93157593,1135571,2272137,1
9315759303,93157593,1135571,2272138,2
9315759304,93157593,1135571,2272139,3
13017912101,130179121,1400367,3175100,1
13017912102,130179121,1400367,3175101,2
13017912103,130179121,1400367,3175102,3
13017912106,130179121,1400367,3175105,4
23373322501,233733225,2346127,5700810,1
23373322502,233733225,2346127,5700811,2
7293126801,72931268,934420,1778811,1
7293126802,72931268,934420,1778812,2
971500601,9715006,213291,236951,1
971500602,9715006,213291,236952,2
20300368401,203003684,2010222,4951309,1
20300368402,203003684,2010222,4951310,2
20300368403,203003684,2010222,4951311,3
20300368404,203003684,2010222,4951312,4
13753878301,137538783,1524252,3354604,1
13753878302,137538783,1524252,3354605,2
20857243301,208572433,2072712,5087132,1
20857243302,208572433,2072712,5087133,2
17750631702,177506317,1842855,4329423,1
17750631704,177506317,1842855,4329425,2
17750631705,177506317,1842855,4329426,3
21083185501,210831855,2100266,5142240,1
21083185502,210831855,2100266,5142241,2
15980001401,159800014,1749620,3897561,1
15980001402,159800014,1749620,3897562,2
22159312501,221593125,2231501,5404710,1
22159312502,221593125,2231501,5404711,2
19894021301,198940213,1968395,4852200,1
19894021302,198940213,1968395,4852201,2
30181098002,301810980,2744529,7361244,1
30181098003,301810980,2744529,7361245,2
30181098004,301810980,2744529,7361246,3
10743949602,107439496,1207615,2620476,1
10743949603,107439496,1207615,2620477,2
10743949605,107439496,1207615,2620479,3
14803707701,148037077,1652280,3610660,1
14803707702,148037077,1652280,3610661,2
17831680701,178316807,1847048,4349190,1
17831680702,178316807,1847048,4349191,2
17831680705,178316807,1847048,4349194,3
3202060701,32020607,418588,780990,1
3202060702,32020607,418588,780991,2
3202060703,32020607,418588,780992,3
22952441501,229524415,2311909,5598156,1
22952441502,229524415,2311909,5598157,2
26096489201,260964892,2507598,6364997,1
26096489202,260964892,2507598,6364998,2
26096489204,260964892,2507598,6365000,3
12644361101,126443611,1374515,3083990,1
12644361102,126443611,1374515,3083991,2
23396274101,233962741,2347993,5706408,1
23396274103,233962741,2347993,5706410,2
10160027402,101600274,1177758,2478056,1
10160027403,101600274,1177758,2478057,2
10160027405,101600274,1177758,2478059,3
20024024701,200240247,1984249,4883908,1
20024024702,200240247,1984249,4883909,2
20861063701,208610637,2073178,5088064,1
20861063702,208610637,2073178,5088065,2
26969949702,269699497,2552551,6578037,1
26969949705,269699497,2552551,6578040,2
23377295401,233772954,2346450,5701779,1
23377295402,233772954,2346450,5701780,2
12699092001,126990920,1379776,3097339,1
12699092002,126990920,1379776,3097340,2
24325010601,243250106,2422299,5932929,1
24325010602,243250106,2422299,5932930,2
24325010604,243250106,2422299,5932932,3
24325010606,243250106,2422299,5932934,4
26992594001,269925940,2553766,6583559,1
26992594002,269925940,2553766,6583560,2
26992594004,269925940,2553766,6583562,3
9740572802,97405728,1157399,2375750,1
9740572803,97405728,1157399,2375751,2
9740572804,97405728,1157399,2375752,3
9740572806,97405728,1157399,2375754,4
9740572807,97405728,1157399,2375755,5
12762203101,127622031,1384907,3112732,1
12762203102,127622031,1384907,3112733,2
870845401,8708454,201016,212401,1
870845402,8708454,201016,212402,2
26930092801,269300928,2550488,6568315,1
26930092804,269300928,2550488,6568318,2
7701142401,77011424,984178,1878327,1
7701142402,77011424,984178,1878328,2
6323907501,63239075,750391,1542416,1
6323907502,63239075,750391,1542417,2
6323907505,63239075,750391,1542420,3
21069942301,210699423,2098651,5139010,1
21069942302,210699423,2098651,5139011,2
9483638103,94836381,1144381,2313084,1
9483638104,94836381,1144381,2313085,2
10086784803,100867848,1174251,2460193,1
10086784804,100867848,1174251,2460194,2
10529441102,105294411,1196610,2568157,1
10529441104,105294411,1196610,2568159,2
10529441105,105294411,1196610,2568160,3
1083111201,10831112,226902,264173,1
1083111202,10831112,226902,264174,2
12370374101,123703741,1341102,3017164,1
12370374102,123703741,1341102,3017165,2
5872804401,58728044,705980,1432391,1
5872804402,58728044,705980,1432392,2
5639260601,56392606,677499,1375429,1
5639260602,56392606,677499,1375430,2
16614841301,166148413,1786401,4052400,1
16614841302,166148413,1786401,4052401,2
3484423601,34844236,432706,849859,1
3484423602,34844236,432706,849860,2
3484423604,34844236,432706,849862,3
17118112803,171181128,1810714,4175151,1
17118112804,171181128,1810714,4175152,2
12373087901,123730879,1341433,3017826,1
12373087902,123730879,1341433,3017827,2
2033478701,20334787,337259,495970,1
2033478702,20334787,337259,495971,2
2033478703,20334787,337259,495972,3
21157526501,211575265,2109332,5160372,1
21157526502,211575265,2109332,5160373,2
29764648501,297646485,2704338,7259670,1
29764648502,297646485,2704338,7259671,2
21153926701,211539267,2108893,5159494,1
21153926702,211539267,2108893,5159495,2
22134204301,221342043,2228439,5398586,1
22134204302,221342043,2228439,5398587,2
20021572301,200215723,1983950,4883310,1
20021572302,200215723,1983950,4883311,2
6374099302,63740993,753045,1554659,1
6374099303,63740993,753045,1554660,2
6374099304,63740993,753045,1554661,3
3473903203,34739032,432169,847295,1
3473903204,34739032,432169,847296,2
14340186301,143401863,1595753,3497606,1
14340186302,143401863,1595753,3497607,2
23358858301,233588583,2344951,5697282,1
23358858302,233588583,2344951,5697283,2
23358858303,233588583,2344951,5697284,3
26351706201,263517062,2519287,6427245,1
26351706203,263517062,2519287,6427247,2
26351706204,263517062,2519287,6427248,3
5857757801,58577578,704145,1428721,1
5857757802,58577578,704145,1428722,2
24854189601,248541896,2449197,6061997,1
24854189602,248541896,2449197,6061998,2
24854189604,248541896,2449197,6062000,3
24854189605,248541896,2449197,6062001,4
20206035801,202060358,2002968,4928301,1
20206035803,202060358,2002968,4928303,2
16544653602,165446536,1782721,4035282,1
16544653603,165446536,1782721,4035283,2
16544653604,165446536,1782721,4035284,3
29526016803,295260168,2678969,7201469,1
29526016806,295260168,2678969,7201472,2
29526016808,295260168,2678969,7201474,3
24779573902,247795739,2445830,6043799,1
24779573903,247795739,2445830,6043800,2
19891635501,198916355,1968104,4851618,1
19891635502,198916355,1968104,4851619,2
2654530701,26545307,387751,647446,1
2654530702,26545307,387751,647447,2
2654530703,26545307,387751,647448,3
778529801,7785298,189758,189885,1
778529802,7785298,189758,189886,2
29881474101,298814741,2718585,7288164,1
29881474102,298814741,2718585,7288165,2
6170534501,61705345,740439,1505008,1
