person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work
166,166,54,1,2,3,3,4,-1,-1,False
197,197,46,1,2,3,3,4,-1,-1,False
268,268,46,1,1,3,3,4,-1,-1,False
375,375,54,1,2,3,3,4,-1,-1,False
387,387,44,1,2,3,3,4,-1,-1,False
595,595,47,1,1,3,3,4,-1,-1,False
629,629,51,1,1,3,2,3,12,-1,False
701,701,40,1,2,3,3,4,-1,-1,False
809,809,61,1,1,3,3,4,-1,-1,False
824,824,64,1,2,3,3,4,-1,-1,False
1250,1250,29,1,1,3,3,4,-1,-1,False
1274,1274,44,1,1,3,2,3,10,-1,False
1427,1427,29,1,1,3,3,4,-1,-1,False
1568,1568,46,1,1,3,3,4,-1,-1,False
1602,1602,43,1,1,3,3,4,-1,-1,False
1720,1720,64,1,2,3,3,4,-1,-1,False
26041,26041,60,1,1,3,3,4,-1,-1,False
26088,26088,55,1,1,3,3,4,-1,-1,False
26710,26710,61,1,1,3,3,4,-1,-1,False
26713,26713,50,1,1,3,3,4,-1,-1,False
26959,26959,54,1,1,3,3,4,-1,-1,False
27096,27096,27,1,2,3,3,4,-1,-1,False
27266,27266,40,1,1,3,2,3,12,-1,False
27307,27307,39,1,1,3,3,4,-1,-1,False
27565,27565,48,1,1,3,3,4,-1,-1,False
28012,28012,49,1,1,3,2,3,5,-1,False
28253,28253,30,1,2,3,3,4,-1,-1,False
28547,28547,62,1,1,3,3,4,-1,-1,False
29005,29005,63,1,1,3,3,4,-1,-1,False
29291,29291,39,1,1,3,3,4,-1,-1,False
29331,29331,19,1,2,3,3,4,-1,-1,False
29368,29368,49,1,1,3,2,3,185,-1,False
29476,29476,25,1,1,3,2,3,13,-1,False
29677,29677,19,1,2,3,3,4,-1,-1,False
29744,29744,62,1,1,3,3,4,-1,-1,False
29898,29898,22,1,1,3,2,3,5,-1,False
29957,29957,53,1,1,3,3,4,-1,-1,False
30777,30777,63,1,1,3,3,4,-1,-1,False
30783,30783,44,1,1,3,3,4,-1,-1,False
31153,31153,53,1,1,3,2,3,108,-1,False
31996,31996,48,1,2,3,3,4,-1,-1,False
32052,32052,60,1,2,3,3,4,-1,-1,False
32104,32104,39,1,1,3,3,4,-1,-1,False
32156,32156,59,1,1,3,3,4,-1,-1,False
32204,32204,64,1,2,3,3,4,-1,-1,False
32332,32332,27,1,2,3,2,3,39,-1,False
32350,32350,26,1,1,3,3,4,-1,-1,False
32355,32355,31,1,2,3,3,4,-1,-1,False
32675,32675,37,1,1,3,3,4,-1,-1,False
32747,32747,47,1,1,3,3,4,-1,-1,False
32947,32947,53,1,2,3,3,4,-1,-1,False
32949,32949,49,1,1,3,3,4,-1,-1,False
33015,33015,49,1,1,3,3,4,-1,-1,False
33032,33032,29,1,1,3,2,3,91,-1,False
33078,33078,35,1,2,3,2,3,133,-1,False
33213,33213,53,1,2,3,2,3,9,-1,False
33255,33255,47,1,2,3,3,4,-1,-1,False
33392,33392,44,1,1,3,3,4,-1,-1,False
33565,33565,41,1,2,3,2,3,5,-1,False
33832,33832,47,1,2,3,3,4,-1,-1,False
33956,33956,55,1,1,3,3,4,-1,-1,False
34317,34317,40,1,1,3,3,4,-1,-1,False
34447,34447,52,1,2,3,3,4,-1,-1,False
34731,34731,38,1,1,3,3,4,-1,-1,False
34855,34855,47,1,1,3,3,4,-1,-1,False
35193,35193,64,1,1,3,3,4,-1,-1,False
35322,35322,40,1,2,3,3,4,-1,-1,False
35352,35352,25,1,2,3,2,3,10,-1,False
35736,35736,54,1,1,3,3,4,-1,-1,False
35790,35790,21,1,2,3,2,3,5,-1,False
36284,36284,45,1,1,3,3,4,-1,-1,False
36445,36445,56,1,2,3,3,4,-1,-1,False
36468,36468,54,1,2,3,3,4,-1,-1,False
36957,36957,54,1,2,3,3,4,-1,-1,False
37289,37289,54,1,1,3,3,4,-1,-1,False
72241,72241,56,1,1,1,3,1,-1,9,False
72441,72441,49,1,1,1,3,1,-1,100,False
72528,72528,31,1,1,2,3,2,-1,126,False
73144,73144,31,1,2,1,3,1,-1,77,False
73493,73493,31,1,2,1,3,1,-1,117,False
73555,73555,48,1,1,2,3,2,-1,167,True
73706,73706,26,1,1,1,3,1,-1,168,False
73715,73715,53,1,1,1,3,1,-1,86,False
73780,73780,26,1,1,1,3,1,-1,173,False
74524,74524,47,1,1,2,3,2,-1,72,False
74642,74642,57,1,1,1,3,1,-1,165,False
74774,74774,42,1,1,1,3,1,-1,26,False
107713,107713,34,1,1,1,3,1,-1,190,False
107778,107778,62,1,2,2,3,2,-1,21,False
107875,107875,40,1,1,1,3,1,-1,161,False
108239,108239,26,1,2,2,3,2,-1,38,False
108299,108299,29,1,2,1,3,1,-1,112,False
108750,108750,25,1,1,2,2,3,133,9,False
108810,108810,41,1,1,2,3,2,-1,63,False
108988,108988,23,1,2,1,3,1,-1,171,False
109062,109062,34,1,1,1,3,1,-1,58,False
109270,109270,40,1,2,1,3,1,-1,116,False
109445,109445,24,1,2,1,3,1,-1,87,False
109665,109665,42,1,1,2,3,2,-1,145,False
109677,109677,40,1,1,1,3,1,-1,181,False
109700,109700,49,1,2,2,3,2,-1,84,False
109798,109798,26,1,1,1,3,1,-1,181,False
109939,109939,41,1,1,2,3,2,-1,112,False
110274,110274,40,1,1,1,3,1,-1,164,False
