trip_id,person_id,household_id,tour_id,outbound,purpose,destination,origin,depart,trip_mode
54497,166,166,6812,True,eatout,71,71,13.0,WALK
54501,166,166,6812,False,Home,71,71,15.0,WALK
64881,197,197,8110,True,shopping,13,80,11.0,WALK_LRF
64885,197,197,8110,False,Home,80,13,17.0,WALK_LRF
88105,268,268,11013,True,othdiscr,25,91,18.0,DRIVEALONEFREE
88109,268,268,11013,False,Home,91,25,18.0,DRIVEALONEFREE
88129,268,268,11016,True,othmaint,108,91,12.0,DRIVEALONEFREE
88133,268,268,11016,False,Home,91,108,15.0,DRIVEALONEFREE
123225,375,375,15403,True,othmaint,100,105,10.0,DRIVEALONEFREE
123229,375,375,15403,False,shopping,187,100,14.0,SHARED2FREE
123230,375,375,15403,False,eatout,107,187,14.0,SHARED2FREE
123231,375,375,15403,False,Home,105,107,14.0,SHARED2FREE
127009,387,387,15876,True,escort,33,112,7.0,DRIVEALONEFREE
127013,387,387,15876,False,Home,112,33,8.0,DRIVEALONEFREE
127137,387,387,15892,True,othdiscr,147,112,15.0,SHARED3FREE
127141,387,387,15892,False,Home,112,147,16.0,DRIVEALONEFREE
206561,629,629,25820,True,escort,133,131,12.0,WALK
206562,629,629,25820,True,univ,133,133,14.0,WALK
206565,629,629,25820,False,Home,131,133,15.0,WALK
230129,701,701,28766,True,othdiscr,62,134,12.0,SHARED3FREE
230133,701,701,28766,False,Home,134,62,15.0,SHARED2FREE
230153,701,701,28769,True,othmaint,156,134,15.0,DRIVEALONEFREE
230157,701,701,28769,False,Home,134,156,16.0,DRIVEALONEFREE
265401,809,809,33175,True,eatout,152,138,15.0,DRIVEALONEFREE
265405,809,809,33175,False,shopping,21,152,20.0,DRIVEALONEFREE
265406,809,809,33175,False,Home,138,21,20.0,DRIVEALONEFREE
265617,809,809,33202,True,shopping,114,138,11.0,DRIVEALONEFREE
265618,809,809,33202,True,shopping,138,114,12.0,TNC_SINGLE
265621,809,809,33202,False,othmaint,149,138,13.0,TNC_SINGLE
265622,809,809,33202,False,Home,138,149,13.0,TNC_SHARED
270497,824,824,33812,True,othmaint,133,139,13.0,TNC_SHARED
270501,824,824,33812,False,Home,139,133,14.0,DRIVEALONEFREE
270561,824,824,33820,True,social,9,139,14.0,WALK_LOC
270565,824,824,33820,False,Home,139,9,19.0,WALK_LOC
410201,1250,1250,51275,True,othdiscr,172,165,10.0,TNC_SINGLE
410205,1250,1250,51275,False,Home,165,172,10.0,DRIVEALONEFREE
418121,1274,1274,52265,True,univ,188,166,9.0,WALK_LOC
418125,1274,1274,52265,False,Home,166,188,15.0,WALK_LOC
525505,1602,1602,65688,True,eatout,64,177,20.0,DRIVEALONEFREE
525509,1602,1602,65688,False,Home,177,64,20.0,DRIVEALONEFREE
525721,1602,1602,65715,True,eatout,86,177,11.0,TNC_SINGLE
525722,1602,1602,65715,True,shopping,177,86,12.0,TNC_SINGLE
525725,1602,1602,65715,False,othmaint,9,177,16.0,TNC_SINGLE
525726,1602,1602,65715,False,Home,177,9,16.0,WALK_LOC
564361,1720,1720,70545,True,escort,106,181,8.0,DRIVEALONEFREE
564362,1720,1720,70545,True,escort,135,106,9.0,DRIVEALONEFREE
564363,1720,1720,70545,True,othdiscr,62,135,9.0,DRIVEALONEFREE
564365,1720,1720,70545,False,eatout,90,62,11.0,TNC_SHARED
564366,1720,1720,70545,False,othmaint,69,90,11.0,TNC_SINGLE
564367,1720,1720,70545,False,Home,181,69,11.0,DRIVEALONEFREE
564425,1720,1720,70553,True,shopping,62,181,11.0,DRIVEALONEFREE
564426,1720,1720,70553,True,shopping,11,62,13.0,SHARED2FREE
