survey_participant_id,survey_tour_id,household_id,person_id,participant_num,tour_id,participant_id
144295087010,1442950870,1606646,3519392,1,144295087,14429508701
144295087020,1442950870,1606646,3519393,2,144295087,14429508702
283676518010,2836765180,2628704,6918939,1,283676518,28367651801
283676518040,2836765180,2628704,6918942,2,283676518,28367651804
100798519030,1007985190,1173905,2458502,1,100798519,10079851903
100798519040,1007985190,1173905,2458503,2,100798519,10079851904
233662133010,2336621330,2345549,5699076,1,233662133,23366213301
233662133020,2336621330,2345549,5699077,2,233662133,23366213302
233662133030,2336621330,2345549,5699078,3,233662133,23366213303
236276250010,2362762500,2366802,5762835,1,236276250,23627625001
236276250020,2362762500,2366802,5762836,2,236276250,23627625002
236276250030,2362762500,2366802,5762837,3,236276250,23627625003
34725293030,347252930,432092,846960,1,34725293,3472529303
34725293040,347252930,432092,846961,2,34725293,3472529304
34725293050,347252930,432092,846962,3,34725293,3472529305
269276045030,2692760450,2550346,6567710,1,269276045,26927604503
269276045040,2692760450,2550346,6567711,2,269276045,26927604504
233694970010,2336949700,2345816,5699877,1,233694970,23369497001
233694970020,2336949700,2345816,5699878,2,233694970,23369497002
87230838010,872308380,1089134,2127581,1,87230838,8723083801
87230838020,872308380,1089134,2127582,2,87230838,8723083802
87230838030,872308380,1089134,2127583,3,87230838,8723083803
43109305010,431093050,474583,1051446,1,43109305,4310930501
43109305020,431093050,474583,1051447,2,43109305,4310930502
43109305030,431093050,474583,1051448,3,43109305,4310930503
269574359010,2695743590,2551946,6574984,1,269574359,26957435901
269574359040,2695743590,2551946,6574987,2,269574359,26957435904
269574359060,2695743590,2551946,6574989,3,269574359,26957435906
39749273010,397492730,457500,969494,1,39749273,3974927301
39749273020,397492730,457500,969495,2,39749273,3974927302
39749273050,397492730,457500,969498,3,39749273,3974927305
39749273060,397492730,457500,969499,4,39749273,3974927306
39749274010,397492740,457500,969494,1,39749274,3974927401
39749274020,397492740,457500,969495,2,39749274,3974927402
39749274050,397492740,457500,969498,3,39749274,3974927405
39749274060,397492740,457500,969499,4,39749274,3974927406
45520839010,455208390,486243,1110264,1,45520839,4552083901
45520839020,455208390,486243,1110265,2,45520839,4552083902
45520839030,455208390,486243,1110266,3,45520839,4552083903
45520839040,455208390,486243,1110267,4,45520839,4552083904
112959935010,1129599350,1235836,2755120,1,112959935,11295993501
112959935020,1129599350,1235836,2755121,2,112959935,11295993502
112959935030,1129599350,1235836,2755122,3,112959935,11295993503
136617099010,1366170990,1513012,3332124,1,136617099,13661709901
136617099020,1366170990,1513012,3332125,2,136617099,13661709902
93157593020,931575930,1135571,2272137,1,93157593,9315759302
93157593030,931575930,1135571,2272138,2,93157593,9315759303
93157593040,931575930,1135571,2272139,3,93157593,9315759304
130179121010,1301791210,1400367,3175100,1,130179121,13017912101
130179121020,1301791210,1400367,3175101,2,130179121,13017912102
130179121030,1301791210,1400367,3175102,3,130179121,13017912103
130179121060,1301791210,1400367,3175105,4,130179121,13017912106
233733225010,2337332250,2346127,5700810,1,233733225,23373322501
233733225020,2337332250,2346127,5700811,2,233733225,23373322502
72931268010,729312680,934420,1778811,1,72931268,7293126801
72931268020,729312680,934420,1778812,2,72931268,7293126802
9715006010,97150060,213291,236951,1,9715006,971500601
9715006020,97150060,213291,236952,2,9715006,971500602
203003684010,2030036840,2010222,4951309,1,203003684,20300368401
203003684020,2030036840,2010222,4951310,2,203003684,20300368402
203003684030,2030036840,2010222,4951311,3,203003684,20300368403
203003684040,2030036840,2010222,4951312,4,203003684,20300368404
137538783010,1375387830,1524252,3354604,1,137538783,13753878301
137538783020,1375387830,1524252,3354605,2,137538783,13753878302
208572433010,2085724330,2072712,5087132,1,208572433,20857243301
208572433020,2085724330,2072712,5087133,2,208572433,20857243302
177506317020,1775063170,1842855,4329423,1,177506317,17750631702
177506317040,1775063170,1842855,4329425,2,177506317,17750631704
177506317050,1775063170,1842855,4329426,3,177506317,17750631705
210831855010,2108318550,2100266,5142240,1,210831855,21083185501
210831855020,2108318550,2100266,5142241,2,210831855,21083185502
159800014010,1598000140,1749620,3897561,1,159800014,15980001401
159800014020,1598000140,1749620,3897562,2,159800014,15980001402
221593125010,2215931250,2231501,5404710,1,221593125,22159312501
221593125020,2215931250,2231501,5404711,2,221593125,22159312502
198940213010,1989402130,1968395,4852200,1,198940213,19894021301
198940213020,1989402130,1968395,4852201,2,198940213,19894021302
301810980020,3018109800,2744529,7361244,1,301810980,30181098002
301810980030,3018109800,2744529,7361245,2,301810980,30181098003
301810980040,3018109800,2744529,7361246,3,301810980,30181098004
107439496020,1074394960,1207615,2620476,1,107439496,10743949602
107439496030,1074394960,1207615,2620477,2,107439496,10743949603
107439496050,1074394960,1207615,2620479,3,107439496,10743949605
148037077010,1480370770,1652280,3610660,1,148037077,14803707701
148037077020,1480370770,1652280,3610661,2,148037077,14803707702
178316807010,1783168070,1847048,4349190,1,178316807,17831680701
178316807020,1783168070,1847048,4349191,2,178316807,17831680702
178316807050,1783168070,1847048,4349194,3,178316807,17831680705
32020607010,320206070,418588,780990,1,32020607,3202060701
32020607020,320206070,418588,780991,2,32020607,3202060702
32020607030,320206070,418588,780992,3,32020607,3202060703
229524415010,2295244150,2311909,5598156,1,229524415,22952441501
229524415020,2295244150,2311909,5598157,2,229524415,22952441502
260964892010,2609648920,2507598,6364997,1,260964892,26096489201
260964892020,2609648920,2507598,6364998,2,260964892,26096489202
260964892040,2609648920,2507598,6365000,3,260964892,26096489204
126443611010,1264436110,1374515,3083990,1,126443611,12644361101
126443611020,1264436110,1374515,3083991,2,126443611,12644361102
233962741010,2339627410,2347993,5706408,1,233962741,23396274101
233962741030,2339627410,2347993,5706410,2,233962741,23396274103
101600274020,1016002740,1177758,2478056,1,101600274,10160027402
101600274030,1016002740,1177758,2478057,2,101600274,10160027403
101600274050,1016002740,1177758,2478059,3,101600274,10160027405
200240247010,2002402470,1984249,4883908,1,200240247,20024024701
200240247020,2002402470,1984249,4883909,2,200240247,20024024702
208610637010,2086106370,2073178,5088064,1,208610637,20861063701
208610637020,2086106370,2073178,5088065,2,208610637,20861063702
269699497020,2696994970,2552551,6578037,1,269699497,26969949702
269699497050,2696994970,2552551,6578040,2,269699497,26969949705
233772954010,2337729540,2346450,5701779,1,233772954,23377295401
233772954020,2337729540,2346450,5701780,2,233772954,23377295402
126990920010,1269909200,1379776,3097339,1,126990920,12699092001
126990920020,1269909200,1379776,3097340,2,126990920,12699092002
243250106010,2432501060,2422299,5932929,1,243250106,24325010601
243250106020,2432501060,2422299,5932930,2,243250106,24325010602
243250106040,2432501060,2422299,5932932,3,243250106,24325010604
243250106060,2432501060,2422299,5932934,4,243250106,24325010606
269925940010,2699259400,2553766,6583559,1,269925940,26992594001
269925940020,2699259400,2553766,6583560,2,269925940,26992594002
269925940040,2699259400,2553766,6583562,3,269925940,26992594004
97405728020,974057280,1157399,2375750,1,97405728,9740572802
97405728030,974057280,1157399,2375751,2,97405728,9740572803
97405728040,974057280,1157399,2375752,3,97405728,9740572804
97405728060,974057280,1157399,2375754,4,97405728,9740572806
97405728070,974057280,1157399,2375755,5,97405728,9740572807
127622031010,1276220310,1384907,3112732,1,127622031,12762203101
127622031020,1276220310,1384907,3112733,2,127622031,12762203102
8708454010,87084540,201016,212401,1,8708454,870845401
8708454020,87084540,201016,212402,2,8708454,870845402
269300928010,2693009280,2550488,6568315,1,269300928,26930092801
269300928040,2693009280,2550488,6568318,2,269300928,26930092804
77011424010,770114240,984178,1878327,1,77011424,7701142401
77011424020,770114240,984178,1878328,2,77011424,7701142402
63239075010,632390750,750391,1542416,1,63239075,6323907501
63239075020,632390750,750391,1542417,2,63239075,6323907502
63239075050,632390750,750391,1542420,3,63239075,6323907505
210699423010,2106994230,2098651,5139010,1,210699423,21069942301
210699423020,2106994230,2098651,5139011,2,210699423,21069942302
94836381030,948363810,1144381,2313084,1,94836381,9483638103
94836381040,948363810,1144381,2313085,2,94836381,9483638104
100867848030,1008678480,1174251,2460193,1,100867848,10086784803
100867848040,1008678480,1174251,2460194,2,100867848,10086784804
105294411020,1052944110,1196610,2568157,1,105294411,10529441102
105294411040,1052944110,1196610,2568159,2,105294411,10529441104
