person_id,TAZ,school_segment,household_id,model_choice,override_choice
29448,16,3,29448,101,12
30431,31,3,30431,13,9
31152,46,3,31152,12,9
31532,62,3,31532,69,69
31609,63,3,31609,9,69
31680,65,3,31680,91,69
32162,78,3,32162,10,12
34328,104,3,34328,9,10
35896,123,3,35896,133,133
36302,142,3,36302,12,133
36441,145,3,36441,12,37
37197,175,3,37197,14,133
74775,183,3,74775,108,188
109061,10,3,109061,14,9
111245,16,3,111245,13,12
115091,40,3,115091,112,12
118875,78,3,118875,14,69
120765,84,3,120765,107,69
122097,93,3,122097,10,12
123108,103,3,123108,188,101
123238,103,3,123238,10,101
123377,104,3,123377,107,12
123604,105,3,123604,112,10
123795,106,3,123795,91,13
126294,119,3,126294,101,133
128892,182,3,128892,101,188
214325,112,3,201978,91,108
214326,112,3,201978,188,108
236054,159,3,212842,91,133
236737,181,3,213184,12,188
236738,181,3,213184,133,188
266924,78,3,228277,5,9
270153,157,3,229892,188,133
270352,168,3,229991,10,188
323635,10,3,256633,14,10
323636,10,3,256633,14,107
324997,16,3,257314,37,14
325884,19,3,257757,12,108
328124,72,3,258877,14,69
329880,108,3,259755,91,108
332836,146,3,261233,108,12
333697,149,3,261664,69,188
333698,149,2,261664,89,132
334266,149,3,261948,91,133
335652,182,3,262641,133,188
378998,152,1,284314,121,161
385472,7,1,287551,89,6
385743,8,3,287687,9,12
385744,8,1,287687,109,8
386089,9,3,287860,37,12
386090,9,1,287860,170,126
386286,11,1,287958,23,21
386990,89,2,288310,99,76
405224,54,1,297427,22,54
405332,92,2,297481,48,99
405602,169,1,297616,24,169
417706,7,1,303668,113,155
417974,9,1,303802,2,11
418142,9,1,303886,155,38
418332,10,1,303981,82,6
418414,10,1,304022,120,10
418762,16,1,304196,20,9
419034,20,1,304332,2,94
419256,30,1,304443,98,30
419790,32,1,304710,82,30
420342,51,1,304986,5,107
420636,62,1,305133,91,185
420670,62,1,305150,158,21
421152,70,1,305391,74,64
421990,80,1,305810,71,9
422280,102,1,305955,2,118
422939,113,3,306285,10,108
422940,113,1,306285,110,152
423126,133,1,306378,67,133
423318,145,1,306474,144,148
423750,149,1,306690,187,149
463000,167,3,326269,133,133
463002,167,3,326269,101,69
471239,157,1,329015,158,157
471240,157,1,329015,172,157
480278,134,2,332028,79,152
495126,26,3,336977,185,12
495778,113,3,337195,188,108
495779,113,3,337195,107,12
495780,113,3,337195,185,108
497138,189,3,337648,112,188
497139,189,3,337648,188,188
510423,135,1,342076,143,167
510928,164,3,342245,188,188
510929,164,3,342245,133,188
510930,164,3,342245,107,133
511059,167,1,342288,83,127
520211,42,3,345339,13,12
520212,42,1,345339,60,139
543956,126,1,353254,184,9
544268,178,2,353358,169,183
554361,6,1,356722,133,30
554688,21,1,356831,31,20
555029,62,1,356945,57,168
555030,62,1,356945,62,173
556409,149,1,357405,158,149
556410,149,1,357405,151,126
556630,189,3,357479,9,188
556631,189,3,357479,5,188
556632,189,1,357479,61,161
570881,136,1,362229,157,138
571763,168,3,362523,12,188
571764,168,1,362523,80,168
572007,179,1,362604,66,178
596538,55,1,370781,154,65
597140,78,1,370982,179,30
597141,78,1,370982,52,69
598233,113,1,371346,144,113
598239,113,1,371348,87,124
599221,145,3,371676,37,133
599222,145,1,371676,141,145
599223,145,1,371676,21,147
600126,149,1,371977,26,5
600449,175,2,372085,76,185
600450,175,1,372085,6,105
600537,179,1,372114,32,180
633293,126,1,383033,139,140
633446,137,3,383084,101,133
633447,137,2,383084,132,152
644722,28,3,386843,13,13
644724,28,1,386843,114,73
645005,31,2,386937,76,72
645379,39,3,387062,91,12
645381,39,1,387062,18,73
645418,42,3,387075,69,13
645420,42,1,387075,114,110
645966,66,1,387257,64,86
647109,113,1,387638,93,121
647626,146,3,387811,9,188
647627,146,3,387811,13,91
647628,146,1,387811,152,164
648294,149,1,388033,80,149
648312,149,1,388039,162,149
648603,149,1,388136,20,149
649148,154,1,388318,111,155
666918,47,2,394241,99,88
667724,152,3,394476,9,133
685527,134,3,398129,13,133
685528,134,3,398129,10,133
685529,134,3,398129,91,133
685530,134,3,398129,12,133
686146,150,1,398252,135,149
686504,179,3,398330,133,133
686505,179,3,398330,188,133
697667,152,3,400801,13,91
697669,152,1,400801,23,171
697670,152,1,400801,157,109
698392,179,3,400963,10,188
734457,181,3,408469,91,12
734458,181,3,408469,101,188
752565,42,3,412355,112,12
752933,42,3,412435,107,12
752934,42,2,412435,169,13
752935,42,3,412435,10,13
754767,149,3,412836,112,9
756029,189,1,413108,128,183
778933,140,3,418144,37,101
779679,149,1,418297,142,148
780263,149,2,418424,130,139
780264,149,1,418424,114,126
780293,149,2,418430,152,152
780294,149,1,418430,142,149
792796,42,3,420984,13,69
792797,42,3,420984,108,12
794163,165,3,421243,5,133
815125,117,1,425725,89,113
815126,117,1,425725,20,106
815127,117,1,425725,166,101
847601,86,3,432236,112,69
847603,86,1,432236,112,106
847604,86,1,432236,50,108
847605,86,1,432236,105,78
847868,113,3,432292,14,133
847869,113,1,432292,120,113
847870,113,1,432292,88,113
847871,113,1,432292,177,113
848063,113,1,432331,18,97
848064,113,1,432331,122,25
848409,117,1,432401,90,126
848412,117,1,432401,113,124
848928,144,2,432510,166,139
848929,144,2,432510,89,152
848930,144,1,432510,113,144
849338,148,3,432596,112,108
849341,148,1,432596,2,160
849342,148,3,432596,10,9
849495,149,1,432629,162,157
849496,149,1,432629,73,153
849497,149,1,432629,172,149
849569,150,1,432645,73,149
849570,150,1,432645,134,152
849572,150,1,432645,90,147
885870,59,1,440181,74,181
886063,73,1,440223,96,10
886064,73,1,440223,23,78
886188,78,1,440250,69,68
887867,143,3,440631,107,12
887868,143,2,440631,79,165
887869,143,3,440631,10,13
966703,42,1,456896,44,131
966704,42,1,456896,26,25
966895,42,1,456937,180,119
966896,42,1,456937,78,42
968348,89,1,457264,7,8
968349,89,1,457264,111,68
968350,89,1,457264,46,89
968353,89,1,457264,110,177
970169,129,1,457643,177,128
970170,129,1,457643,57,100
970171,129,1,457643,176,130
973480,149,2,458284,183,152
973481,149,1,458284,139,149
973482,149,1,458284,166,149
973483,149,1,458284,28,149
973484,149,1,458284,183,149
973485,149,1,458284,106,149
974413,157,1,458453,97,134
974414,157,1,458453,4,155
974415,157,1,458453,3,157
974416,157,1,458453,181,139
974821,169,1,458536,120,89
974822,169,1,458536,133,169
975357,189,2,458670,13,188
975358,189,2,458670,69,188
1048772,134,3,474035,185,133
1048773,134,1,474035,151,134
1048774,134,1,474035,140,165
