Description,Expression,Mandatory,NonMandatory,Home
Full-time worker interaction with full-time worker,ptype == 11,0.141,1.123,1.626
Full-time worker interaction with part-time worker,ptype == 12 or ptype == 21,0.08845,0.4947,0.7407
Full-time worker interaction with university student,ptype == 31 or ptype == 13,0.4273,0.5523,1.183
Full-time worker interaction with non-working adult,ptype == 41 or ptype == 14,,0.02186,0.9436
Full-time worker interaction with retired,ptype == 51 or ptype == 15,,0.3115,1.298
Full-time worker interaction with driving-age child who is in school,ptype == 61 or ptype == 16,0.3842,0.4095,2.064
Full-time worker interaction with pre-driving-age child who is in school,ptype == 71 or ptype == 17,0.2623,0.6008,1.501
Full-time worker interaction with pre-driving-age child who is too young for school,ptype == 81 or ptype == 18,0.5118,0.751,0.9912
Part-time worker interaction with part-time worker,ptype == 22,1.135,1.032,0.8911
Part-time worker interaction with university student,ptype == 23 or ptype == 32,0.173,0.3355,1.642
Part-time worker interaction with non-working adult,ptype == 24 or ptype == 42,,0.7477,0.7057
Part-time worker interaction with retired,ptype == 25 or ptype == 52,,0.09831,0.463
Part-time worker interaction with driving-age child who is in school,ptype == 26 or ptype == 62,1.103,0.495,3.057
Part-time worker interaction with pre-driving-age child who is in school,ptype == 27 or ptype == 72,0.3079,0.8984,0.7685
Part-time worker interaction with pre-driving-age child who is too young for school,ptype == 28 or ptype == 82,0.5074,1.452,1.07
University student interaction with university student,ptype == 33,0.8726,1.054,1.018
University student interaction with non-working adult,ptype == 34 or ptype == 43,,0.193,1.781
University student interaction with retired,ptype == 35 or ptype == 53,,0.4065,0.4835
University student interaction with driving-age child who is in school,ptype == 36 or ptype == 63,-0.0021,1.62,1.546
University student interaction with pre-driving-age child who is in school,ptype == 37 or ptype == 73,0.2975,0.5165,1.552
University student interaction with pre-driving-age child who is too young for school,ptype == 38 or ptype == 83,0.2254,0.8973,1.34
Non-working adult interaction with non-working adult,ptype == 44,,0.6984,1.352
Non-working adult interaction with retired,ptype == 45 or ptype == 54,,0.1864,1.209
Non-working adult interaction with driving-age child who is in school,ptype == 46 or ptype == 64,,0.6801,0.5243
Non-working adult interaction with pre-driving-age child who is in school,ptype == 47 or ptype == 74,,0.5646,0.8112
Non-working adult interaction with pre-driving-age child who is too young for school,ptype == 48 or ptype == 84,,1.164,1.167
Retired interaction with retired,ptype == 55,,0.7291,1.407
Retired interaction with driving-age child who is in school,ptype == 56 or ptype == 65,,0.2919,0.8632
Retired interaction with pre-driving-age child who is in school,ptype == 57 or ptype == 75,,0.2919,0.8632
Retired interaction with pre-driving-age child who is too young for school,ptype == 58 or ptype == 85,,0.2919,0.8632
Driving-age child who is in school interaction with driving-age child who is in school,ptype == 66,0.4794,1.512,2.198
Driving-age child who is in school interaction with pre-driving-age child who is in school,ptype == 67 or ptype == 76,0.5151,1.422,0.977
Driving-age child who is in school interaction with pre-driving-age child who is too young for school,ptype == 68 or ptype == 86,0.5516,1.273,1.467
Pre-driving-age child who is in school interaction with pre-Pre-driving-age child who is in school,ptype == 77,0.9731,1.553,2.8
Pre-driving-age child who is in school interaction with pre-driving-age child who is too young for school,ptype == 78 or ptype == 87,0.5961,0.6184,1.434
Pre-driving-age child who is too young for school interaction with pre-driving-age child who is too young for school,ptype == 88,1.651,0.8771,1.378
Mandatory pattern unavailable for retired person,#retiredA,-999,,
Mandatory pattern unavailable for retired person,#retiredB,-999,,
Mandatory pattern unavailable for nonworking adult person type,#nonWorkingAdultA,-999,,
Mandatory pattern unavailable for nonworking adult person type,#nonWorkingAdultB,-999,,
