HHID,PERSONS,workers,VEHICL,MAZ,income,HHT,unittype,bldgsz
60434,1,0,0,15299,41018,6,0,8
161252,5,1,0,15281,22482,1,0,8
163365,5,2,0,14755,186344,1,0,2
277263,2,2,0,14751,109205,1,0,2
277298,4,1,0,14755,62485,1,0,2
317782,2,1,0,14755,81604,1,0,2
317783,4,2,0,14774,132272,1,0,3
317787,4,1,0,14774,33882,1,0,2
317795,4,4,0,14774,18865,1,0,3
317796,7,3,0,14756,89627,1,0,2
317797,5,3,0,14756,18337,1,0,3
317798,2,1,0,14775,124700,1,0,2
317801,5,2,0,14755,55150,1,0,2
317802,4,2,0,14753,127998,3,0,3
317803,2,2,0,14756,16354,1,0,2
317809,5,2,0,14755,60195,1,0,2
317810,3,2,0,14755,57502,2,0,2
317811,3,2,0,14756,29844,1,0,2
317812,3,1,0,14775,201916,3,0,2
317814,2,2,0,14752,120548,5,0,2
317816,2,0,0,14754,37125,1,0,2
317818,2,0,0,14753,97492,3,0,3
317820,2,0,0,14774,57194,1,0,2
317821,4,1,0,14775,59019,1,0,2
317826,2,1,0,14755,276811,1,0,2
317830,2,1,0,14752,64156,3,0,2
317832,5,2,0,14753,15893,1,0,2
317833,6,2,0,14775,25985,1,0,3
317834,3,2,0,14775,36459,3,0,2
317835,2,0,0,14774,16899,1,0,3
317840,2,2,0,14774,173201,1,0,2
317842,4,3,0,14755,241959,1,0,2
317844,1,0,0,14755,16144,6,0,2
317846,3,2,0,14752,38552,7,0,2
317848,4,2,0,14755,59669,3,0,2
317850,5,3,0,14751,56017,1,0,2
317853,5,1,0,14755,63228,1,0,2
317854,2,1,0,14753,81841,1,0,2
317858,2,0,0,14752,26161,2,0,2
317865,2,2,0,14775,70163,1,0,3
317866,2,1,0,14753,40683,1,0,2
317868,4,2,0,14756,102847,1,0,2
317870,3,1,0,14754,54996,1,0,2
317873,2,2,0,14755,116762,1,0,3
317874,2,1,0,14753,63011,1,0,2
317875,3,1,0,14755,9994,2,0,3
317880,3,2,0,14774,21755,1,0,2
317882,5,3,0,14756,12442,1,0,2
317887,6,2,0,14751,60938,1,0,3
317895,6,3,0,14751,111212,1,0,3
317896,3,1,0,14775,143289,1,0,2
317900,3,2,0,14752,5839,1,0,2
317905,3,2,0,14753,127021,1,0,2
317908,5,3,0,14754,67777,1,0,2
317909,2,0,0,14752,34777,1,0,3
317911,3,1,0,14755,66539,5,0,2
317913,4,2,0,14755,137231,1,0,2
317914,1,0,0,14755,28915,4,0,2
317918,5,3,0,14753,108201,1,0,2
317922,3,3,0,14755,114076,1,0,2
317923,1,0,0,14775,21116,6,0,2
317924,2,0,0,14753,231577,2,0,2
317925,2,1,0,14753,89390,7,0,2
317926,4,1,0,14753,122869,3,0,2
317927,4,2,0,14755,128242,1,0,2
317932,2,1,0,14774,17235,1,0,2
317933,4,1,0,14755,55182,1,0,3
317935,5,1,0,14752,36091,1,0,2
317939,3,1,0,14775,31082,1,0,2
317941,3,2,0,14756,151619,3,0,3
317943,2,0,0,14754,19171,1,0,2
317944,3,1,0,14756,54625,1,0,2
317948,3,3,0,14775,284226,1,0,3
317949,5,2,0,14755,194500,1,0,2
317954,3,3,0,14774,64435,1,0,2
317957,2,1,0,14774,91692,7,0,2
317959,3,1,0,14756,64807,1,0,2
317960,2,0,0,14774,19505,1,0,2
317964,4,4,0,14775,73677,1,0,2
317968,3,2,0,14756,9213,1,0,3
317969,3,1,0,14756,56264,3,0,2
317974,3,1,0,14755,21394,1,0,2
317976,2,2,0,14755,21255,1,0,2
317978,4,2,0,14752,95708,1,0,2
317979,5,2,0,14755,72870,3,0,2
317983,2,2,0,14752,22172,1,0,2
317989,2,2,0,14751,32037,1,0,2
317990,2,2,0,14752,70970,5,0,2
317992,2,1,0,14752,93365,1,0,2
317999,4,1,0,14755,38837,1,0,2
318000,3,2,0,14753,122380,2,0,2
318002,2,2,0,14755,19560,1,0,2
318003,3,0,0,14755,58833,3,0,3
318006,2,1,0,14755,11765,3,0,2
318012,3,2,0,14755,31276,1,0,2
318014,2,1,0,14751,86209,1,0,2
318015,4,3,0,14755,45786,1,0,3
318017,2,2,0,14774,61959,5,0,2
318023,5,1,0,14774,67282,1,0,2
318024,3,2,0,14752,240476,1,0,2
318025,4,2,0,14775,236768,1,0,2
318028,4,2,0,14774,17738,1,0,3
318030,4,2,0,14756,8908,1,0,2
318031,2,0,0,14752,76335,1,0,2
318036,1,0,0,14751,33240,6,0,2
318040,4,1,0,14756,40588,1,0,2
318046,2,0,0,14755,84737,1,0,3
318051,5,3,0,14752,115052,1,0,2
318055,2,1,0,14756,213038,3,0,2
318057,2,1,0,14752,98385,1,0,2
318059,5,2,0,14775,30656,3,0,3
318061,2,2,0,14775,123601,1,0,2
318062,4,1,0,14775,71018,1,0,2
318063,3,2,0,14755,115297,1,0,2
318064,3,0,0,14753,43024,1,0,2
318070,3,3,0,14775,91134,1,0,2
318071,3,2,0,14775,81889,3,0,2
318076,4,1,0,14754,47532,1,0,2
318077,3,3,0,14752,113831,1,0,2
318078,3,1,0,14753,449,1,0,2
318079,2,2,0,14756,34246,1,0,2
318081,3,3,0,14774,85924,1,0,2
318082,3,0,0,14753,88535,1,0,2
318086,3,1,0,14756,61650,3,0,2
318087,2,0,0,14754,55027,1,0,2
318088,5,4,0,14752,65271,1,0,2
318091,6,3,0,14752,74436,1,0,2
318095,2,1,0,14754,38362,1,0,3
318096,4,0,0,14751,23391,3,0,2
318097,2,1,0,14774,81034,1,0,2
318100,4,1,0,14753,65921,1,0,2
318102,4,1,0,14753,77475,2,0,2
318103,5,1,0,14774,63538,1,0,2
318105,3,1,0,14754,46701,3,0,2
318107,2,1,0,14754,265688,1,0,3
318112,3,1,0,14774,47034,1,0,3
