PERID,household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ
184187,60434,67,1,2,3,3,5,9
478330,161252,32,1,2,3,3,4,9
478331,161252,36,2,1,1,3,1,13
478332,161252,5,3,2,4,1,8,1
478333,161252,4,4,1,4,3,8,1
478334,161252,3,5,1,4,3,8,1
484889,163365,9,1,2,4,1,7,1
484890,163365,20,2,2,2,2,3,9
484891,163365,49,3,1,1,3,1,13
484892,163365,47,4,2,3,3,4,13
484893,163365,2,5,2,4,3,8,1
836004,277263,56,1,2,1,3,1,13
836005,277263,56,2,1,1,3,1,1
836101,277298,9,1,2,4,1,7,1
836102,277298,9,2,1,4,3,7,1
836103,277298,69,3,2,3,3,5,9
836104,277298,58,4,1,1,3,1,13
952023,317782,57,1,2,2,3,2,9
952024,317782,47,2,1,3,3,4,9
952025,317783,68,1,2,3,3,5,13
952026,317783,38,2,2,1,3,1,13
952027,317783,50,3,1,1,3,1,9
952028,317783,2,4,2,4,3,8,1
952039,317787,7,1,1,4,1,7,1
952040,317787,16,2,2,3,1,6,1
952041,317787,32,3,1,2,3,2,9
952042,317787,35,4,2,3,3,4,9
952070,317795,21,1,1,2,2,3,9
952071,317795,20,2,1,2,3,2,9
952072,317795,43,3,1,2,3,2,9
952073,317795,33,4,2,1,3,1,13
952074,317796,24,1,2,2,2,3,9
952075,317796,12,2,1,4,1,7,1
952076,317796,55,3,1,1,3,1,1
952077,317796,41,4,1,1,3,1,9
952078,317796,62,5,2,3,3,4,13
952079,317796,2,6,1,4,3,8,1
952080,317796,1,7,1,4,3,8,1
952081,317797,18,1,1,3,2,3,9
952082,317797,22,2,1,1,3,1,9
952083,317797,17,3,2,3,1,6,1
952084,317797,40,4,2,2,3,2,1
952085,317797,42,5,1,1,3,1,1
952086,317798,58,1,2,1,3,1,13
952087,317798,62,2,1,3,3,4,9
952095,317801,17,1,2,3,1,6,1
952096,317801,22,2,1,2,3,2,9
952097,317801,7,3,1,4,1,7,1
952098,317801,66,4,1,2,3,2,9
952099,317801,32,5,2,3,3,4,9
952100,317802,22,1,1,2,3,2,9
952101,317802,21,2,2,2,2,3,13
952102,317802,73,3,2,3,3,5,13
952103,317802,63,4,2,3,3,4,13
952104,317803,58,1,1,1,3,1,1
952105,317803,53,2,2,2,3,2,13
952122,317809,15,1,2,4,1,7,1
952123,317809,8,2,1,4,1,7,1
952124,317809,8,3,1,4,3,7,1
952125,317809,37,4,1,1,3,1,9
952126,317809,41,5,2,1,3,1,9
952127,317810,41,1,2,1,3,1,1
952128,317810,46,2,1,1,3,1,9
952129,317810,77,3,1,3,3,5,9
952130,317811,7,1,2,4,1,7,1
952131,317811,43,2,2,1,3,1,13
952132,317811,40,3,1,2,3,2,13
952133,317812,22,1,1,3,3,4,1
952134,317812,55,2,2,1,3,1,13
952135,317812,68,3,2,3,3,5,9
952141,317814,61,1,1,1,3,1,9
952142,317814,52,2,1,2,3,2,13
952147,317816,84,1,2,3,3,5,9
952148,317816,68,2,1,3,3,5,9
952152,317818,10,1,1,4,1,7,1
952153,317818,60,2,2,3,3,4,9
952156,317820,67,1,2,3,3,5,9
952157,317820,85,2,1,3,3,5,9
952158,317821,11,1,1,4,1,7,1
952159,317821,20,2,1,1,3,1,9
952160,317821,58,3,2,3,3,4,9
952161,317821,63,4,1,3,3,4,13
952173,317826,62,1,2,3,3,4,13
952174,317826,55,2,1,1,3,1,9
952183,317830,13,1,2,4,1,7,1
952184,317830,50,2,2,1,3,1,13
952189,317832,12,1,1,4,1,7,1
952190,317832,18,2,2,3,2,3,9
952191,317832,32,3,1,1,3,1,9
952192,317832,59,4,2,3,3,4,9
952193,317832,59,5,1,1,3,1,13
952194,317833,19,1,2,2,2,3,13
952195,317833,9,2,1,4,1,7,1
952196,317833,15,3,2,4,1,7,1
952197,317833,71,4,2,3,3,5,9
952198,317833,46,5,1,3,3,4,13
952199,317833,37,6,2,1,3,1,9
952200,317834,17,1,1,3,1,6,1
952201,317834,23,2,2,1,2,1,13
952202,317834,56,3,2,2,3,2,9
952203,317835,74,1,1,3,3,5,1
952204,317835,86,2,2,3,3,5,9
952215,317840,49,1,1,2,3,2,9
952216,317840,53,2,2,2,3,2,9
952220,317842,18,1,2,3,2,3,9
952221,317842,46,2,1,1,3,1,13
952222,317842,63,3,2,1,3,1,9
952223,317842,47,4,1,1,3,1,1
952226,317844,68,1,2,3,3,5,9
952231,317846,19,1,2,1,2,1,9
952232,317846,22,2,2,2,3,2,9
952233,317846,56,3,2,3,3,4,9
952236,317848,58,1,2,1,3,1,9
952237,317848,45,2,2,2,3,2,9
952238,317848,80,3,2,3,3,5,9
952239,317848,2,4,1,4,3,8,1
952246,317850,24,1,2,2,2,3,9
952247,317850,20,2,2,1,3,1,9
952248,317850,36,3,2,2,2,3,9
952249,317850,81,4,1,3,3,5,1
952250,317850,69,5,2,3,3,5,9
952257,317853,10,1,2,4,1,7,1
952258,317853,12,2,1,4,1,7,1
952259,317853,34,3,1,2,3,2,9
952260,317853,42,4,2,3,3,4,13
952261,317853,3,5,2,4,3,8,1
952262,317854,65,1,1,1,3,1,9
952263,317854,87,2,2,3,3,5,9
952271,317858,41,1,2,3,3,4,13
952272,317858,74,2,1,3,3,5,13
952296,317865,53,1,1,1,3,1,9
952297,317865,61,2,2,1,3,1,9
952298,317866,53,1,1,1,3,1,1
952299,317866,54,2,2,3,3,4,9
952306,317868,18,1,1,3,2,3,9
952307,317868,19,2,2,2,2,3,9
952308,317868,55,3,1,1,3,1,9
952309,317868,59,4,2,3,3,4,9
952312,317870,14,1,1,4,1,7,1
952313,317870,37,2,2,1,3,1,13
952314,317870,60,3,1,3,3,4,1
952321,317873,57,1,1,1,3,1,13
952322,317873,53,2,2,1,3,1,13
952323,317874,43,1,2,3,3,4,1
952324,317874,35,2,1,2,3,2,9
952325,317875,11,1,1,4,1,7,1
952326,317875,69,2,2,3,3,5,1
952327,317875,37,3,1,1,3,1,13
952344,317880,33,1,1,2,3,2,9
952345,317880,42,2,2,1,3,1,9
952346,317880,6,3,1,4,1,7,1
952351,317882,21,1,2,2,3,2,9
952352,317882,20,2,2,2,2,3,9
952353,317882,9,3,2,4,1,7,1
952354,317882,54,4,2,1,3,1,9
952355,317882,61,5,1,3,3,4,13
952372,317887,15,1,1,4,1,7,1
952373,317887,16,2,2,3,1,6,1
952374,317887,14,3,1,4,1,7,1
952375,317887,77,4,2,3,3,5,1
952376,317887,47,5,1,1,3,1,9
952377,317887,31,6,2,1,3,1,13
952399,317895,10,1,2,4,1,7,1
952400,317895,20,2,1,2,2,3,9
952401,317895,21,3,1,1,2,1,9
952402,317895,35,4,2,2,2,3,13
952403,317895,40,5,1,3,3,4,13
952404,317895,2,6,2,4,3,8,1
952405,317896,12,1,1,4,1,7,1
952406,317896,46,2,1,1,3,1,9
952407,317896,55,3,2,3,3,4,13
952414,317900,46,1,1,1,3,1,13
952415,317900,39,2,2,3,3,4,1
952416,317900,59,3,2,1,3,1,9
952429,317905,20,1,2,3,2,3,9
952430,317905,64,2,2,1,3,1,13
952431,317905,55,3,1,2,3,2,9
952440,317908,20,1,2,1,2,1,9
952441,317908,8,2,2,4,1,7,1
952442,317908,25,3,2,1,3,1,13
952443,317908,37,4,1,1,2,1,9
952444,317908,1,5,1,4,3,8,1
952445,317909,82,1,2,3,3,5,9
