person_id,income_segment,TAZ,model_choice,override_choice
73062,1,123,92,14
73212,1,127,130,5
73712,1,145,108,142
73752,1,149,20,38
73998,1,163,161,9
74775,1,183,166,69
107842,1,7,29,7
107867,1,7,101,7
107989,1,7,176,10
108151,1,8,8,9
108332,1,9,17,14
108422,1,9,12,75
108815,1,10,3,16
108901,1,10,78,23
109061,1,10,138,14
109936,1,11,88,4
110068,1,11,108,8
110316,1,14,176,13
110475,1,16,71,11
110688,1,16,115,2
110912,1,16,24,72
110948,1,16,173,13
111245,1,16,144,10
111260,1,16,108,14
111524,1,16,150,16
112395,1,17,70,142
112461,1,17,90,1
112699,1,17,91,1
113141,1,24,72,26
113493,1,29,67,16
113518,1,29,120,95
113571,1,29,49,47
113733,1,30,68,36
114298,1,33,7,77
114305,1,33,75,2
114563,1,35,80,28
115091,1,40,16,40
115237,1,41,6,4
115285,1,41,79,41
115297,1,41,56,2
115447,1,42,21,109
115643,1,42,151,16
115868,1,44,173,41
115904,1,44,118,107
115958,1,45,15,107
116059,1,46,190,16
116444,1,46,155,9
116785,1,49,148,24
117152,1,58,125,169
117265,1,59,149,28
117582,1,62,175,73
117754,1,64,147,2
117797,1,65,163,110
117815,1,65,78,90
117902,1,66,45,2
117932,1,66,109,129
118147,1,69,149,106
118485,1,73,96,72
118874,1,78,17,98
118875,1,78,1,4
119113,1,78,102,85
119234,1,79,92,52
119256,1,79,174,91
119382,1,79,124,1
119417,1,79,78,70
119655,1,80,97,81
119991,1,81,82,13
120544,1,83,125,92
120765,1,84,143,10
120803,1,85,122,106
121103,1,87,57,115
121191,1,88,109,165
121434,1,89,173,79
121437,1,89,17,161
121630,1,90,149,2
121914,1,91,138,92
122097,1,93,132,95
122232,1,94,142,5
122283,1,95,10,87
122567,1,99,39,5
122619,1,99,113,109
122746,1,100,13,171
122970,1,101,190,82
123041,1,102,103,91
123043,1,102,12,109
123108,1,103,38,12
123238,1,103,97,74
123377,1,104,9,2
123441,1,105,52,98
123516,1,105,83,9
123604,1,105,63,82
123621,1,105,110,115
123623,1,105,134,3
123787,1,106,78,19
123795,1,106,176,7
123843,1,106,48,142
123991,1,106,93,7
124072,1,106,79,2
124161,1,108,163,91
124383,1,108,148,105
124401,1,108,123,69
124698,1,109,9,9
124854,1,109,159,1
124900,1,109,81,16
125050,1,110,151,14
125294,1,110,7,15
125488,1,110,58,14
125517,1,110,72,32
125721,1,111,130,1
125879,1,113,32,4
126002,1,114,98,4
126279,1,118,144,107
126294,1,119,69,90
126411,1,122,135,115
126642,1,127,6,142
127315,1,145,67,2
127465,1,149,165,110
127531,1,149,15,136
127728,1,149,47,142
127827,1,149,134,98
128367,1,175,45,13
128610,1,177,146,95
128827,1,181,80,95
128892,1,182,26,133
128929,1,182,104,17
129230,1,189,85,2
129307,1,189,76,112
129488,1,189,85,75
234975,1,92,34,16
235630,1,144,31,133
236053,1,159,156,139
236738,1,181,121,90
264133,1,10,26,5
265075,1,29,14,142
266923,1,78,156,77
267871,1,101,133,24
268565,1,126,74,16
268616,1,126,154,9
268943,1,144,33,142
269883,1,149,131,19
269885,1,149,24,9
270153,1,157,98,82
270351,1,168,39,3
271128,1,189,92,91
304591,1,69,115,1
304592,1,69,89,5
304645,1,93,96,110
304646,1,93,28,91
304985,1,171,136,133
304986,1,171,182,13
323009,1,7,142,107
323010,1,7,81,2
323139,1,10,112,7
323140,1,10,107,123
323635,1,10,21,10
323636,1,10,98,112
324313,1,16,82,14
324314,1,16,175,69
324929,1,16,125,36
324930,1,16,184,41
324997,1,16,35,16
324998,1,16,57,142
325177,1,16,81,23
325178,1,16,95,41
325883,1,19,112,10
325884,1,19,132,115
326333,1,31,16,45
326334,1,31,13,1
326909,1,42,109,5
326910,1,42,9,16
327281,1,48,80,105
327282,1,48,144,1
328123,1,72,15,73
328124,1,72,115,62
328347,1,80,40,5
328348,1,80,179,76
329103,1,99,133,31
329104,1,99,21,23
329705,1,108,161,9
329706,1,108,128,7
329879,1,108,159,4
329880,1,108,134,41
330087,1,108,81,9
330088,1,108,39,21
330233,1,108,1,17
330234,1,108,187,24
330473,1,110,132,13
330474,1,110,46,17
330653,1,110,17,5
330654,1,110,76,5
330659,1,110,23,110
330660,1,110,67,13
332057,1,118,21,79
332058,1,118,92,40
332459,1,139,74,10
332460,1,139,118,2
332835,1,146,109,115
332836,1,146,121,22
332875,1,146,158,12
332876,1,146,188,91
333065,1,149,179,23
333066,1,149,119,114
333697,1,149,104,149
333698,1,149,162,142
334265,1,149,95,79
334266,1,149,40,150
334483,1,149,187,136
334484,1,149,31,10
335413,1,177,9,26
335414,1,177,186,16
335651,1,182,160,92
335652,1,182,26,132
405223,1,54,42,107
405331,1,92,102,87
405601,1,169,58,92
417705,1,7,16,24
417973,1,9,106,9
418141,1,9,64,112
418331,1,10,79,107
418413,1,10,29,2
418761,1,16,183,1
419033,1,20,128,47
419255,1,30,153,43
419789,1,32,72,10
420341,1,51,40,10
420635,1,62,174,47
420669,1,62,35,9
421151,1,70,88,92
421989,1,80,99,62
422279,1,102,172,2
422939,1,113,170,12
423125,1,133,160,133
423317,1,145,69,145
423749,1,149,44,136
480279,1,134,120,101
495124,1,26,40,4
495778,1,113,43,22
497137,1,189,33,154
510421,1,135,128,36
510422,1,135,186,1
510928,1,164,94,45
510929,1,164,174,111
511057,1,167,72,104
511058,1,167,69,88
520210,1,42,129,9
520211,1,42,7,91
536797,1,110,27,2
536798,1,110,85,4
536799,1,110,25,12
570880,1,136,92,127
571763,1,168,86,92
572005,1,179,37,87
596537,1,55,5,4
597139,1,78,141,111
598232,1,113,134,115
598238,1,113,4,110
599221,1,145,108,2
600124,1,149,92,2
600448,1,175,168,104
600536,1,179,175,37
633292,1,126,39,17
633294,1,126,31,9
633445,1,137,155,4
633446,1,137,119,145
644722,1,28,134,71
644723,1,28,122,5
645004,1,31,17,5
645006,1,31,128,12
645379,1,39,165,12
645380,1,39,135,2
645418,1,42,58,22
645419,1,42,188,14
645964,1,66,92,16
645965,1,66,62,1
647107,1,113,159,7
647108,1,113,72,115
647626,1,146,115,9
647627,1,146,79,91
648292,1,149,167,149
648293,1,149,46,23
648310,1,149,113,10
648311,1,149,69,134
648601,1,149,154,123
648602,1,149,95,12
649147,1,154,137,165
649149,1,154,162,14
666916,1,47,104,123
666917,1,47,104,70
666918,1,47,111,148
697666,1,152,87,123
698391,1,179,7,16
734457,1,181,183,1
734458,1,181,76,14
752563,1,42,159,41
752564,1,42,71,2
752933,1,42,48,2
752936,1,42,138,16
754768,1,149,186,91
754769,1,149,67,16
756026,1,189,130,12
756028,1,189,118,148
778930,1,140,69,106
778931,1,140,15,17
778932,1,140,22,144
778933,1,140,64,92
779676,1,149,95,19
779677,1,149,120,47
779678,1,149,133,111
780261,1,149,2,123
780262,1,149,7,147
780263,1,149,119,131
780291,1,149,97,12
780292,1,149,44,142
780293,1,149,79,91
780594,1,149,108,4
780596,1,149,186,21
780597,1,149,50,153
791902,1,42,21,132
791904,1,42,181,46
791905,1,42,28,112
792794,1,42,128,2
792795,1,42,97,9
792796,1,42,88,9
794162,1,165,178,97
794164,1,165,40,91
794165,1,165,85,107
885869,1,59,60,9
886062,1,73,164,64
886187,1,78,79,84
887870,1,143,157,32
966702,1,42,71,17
966893,1,42,106,18
968351,1,89,42,22
970168,1,129,91,19
973478,1,149,154,143
974411,1,157,163,41
974820,1,169,111,5
975355,1,189,47,185
1048771,1,134,17,144
1048775,1,134,105,93
1050714,1,164,128,2
1050715,1,164,59,167
1051663,1,183,35,14
1051664,1,183,32,123
1103294,1,30,14,5
1103297,1,30,89,15
1103442,1,33,39,27
1103443,1,33,114,24
1104633,1,42,3,15
1104634,1,42,58,1
1105611,1,73,106,9
1105612,1,73,74,2
1105897,1,86,127,115
1105898,1,86,20,101
1105961,1,87,51,29
1105962,1,87,74,52
1109324,1,149,13,108
1109326,1,149,158,170
1109717,1,149,171,23
1109720,1,149,27,50
1160320,1,124,26,91
1160321,1,124,30,110
1160324,1,124,153,14
1162169,1,149,70,115
1162170,1,149,96,33
1162171,1,149,52,91
1162175,1,149,11,144
1162176,1,149,129,17
1162178,1,149,168,1
1162818,1,149,62,115
1162819,1,149,117,81
1162820,1,149,146,147
1163597,1,149,16,26
1163598,1,149,92,169
1163599,1,149,74,9
1179429,1,42,69,16
1179430,1,42,79,41
1179432,1,42,135,2
1182189,1,78,89,45
1182190,1,78,106,6
1182192,1,78,182,24
1346024,1,171,91,188
1355501,1,3,46,2
1355519,1,5,57,2
1355675,1,9,112,9
1356079,1,20,72,107
1356096,1,20,81,16
1356172,1,21,146,2
1356846,1,29,66,188
1357096,1,33,38,9
1357376,1,37,112,143
1357467,1,38,122,115
1357977,1,46,148,71
1358008,1,46,83,18
1358955,1,72,88,16
1359115,1,73,134,14
1359369,1,75,5,105
1359475,1,77,21,17
1359573,1,79,116,22
1360331,1,109,120,111
1360378,1,109,86,14
1360546,1,110,189,74
1360998,1,149,144,133
1361186,1,177,71,183
1476710,1,11,129,130
1476749,1,16,19,9
1476849,1,16,123,17
1477100,1,20,91,106
1477109,1,20,113,88
1477324,1,21,10,115
1477518,1,25,154,14
1477900,1,33,142,9
1478368,1,40,104,41
1478718,1,63,160,92
1479096,1,83,42,48
1479271,1,100,39,116
1479392,1,103,9,8
1479968,1,176,42,23
1480078,1,179,87,16
1505394,1,187,31,7
1542374,1,21,97,12
1542503,1,138,152,92
1542697,1,149,90,142
1561894,1,54,143,177
1561895,1,54,174,62
1561896,1,54,187,69
1580379,2,43,174,2
1580904,2,83,180,106
1580937,2,87,171,3
1580947,2,88,39,70
1580963,2,89,49,1
1581183,2,103,15,10
1581206,2,107,42,115
1581539,2,125,138,138
1581721,2,130,102,2
1581773,2,130,146,154
1582410,2,152,56,70
1582417,2,152,166,145
1582579,2,161,80,145
1582715,2,166,28,106
1582859,2,168,177,133
1583088,2,172,68,22
1583174,2,173,151,114
1583285,2,178,51,7
1583565,2,182,177,22
1583891,2,187,98,115
1631238,2,7,164,4
1631412,2,8,128,36
1631826,2,9,6,11
1631866,2,9,96,1
1632052,2,10,179,98
1632393,2,12,88,9
1632440,2,14,15,24
1632463,2,15,4,22
1632990,1,18,72,5
1633089,2,20,185,81
1633152,2,21,27,17
1633497,2,28,89,111
1633614,2,28,133,4
1633807,2,29,42,5
1633814,2,29,188,15
1633878,2,29,148,16
1633900,2,29,77,14
1634118,2,30,153,147
1634146,2,30,57,12
1634337,2,30,72,10
1634746,2,31,140,40
1634878,2,32,49,145
1635735,2,35,6,1
1635843,2,36,130,41
1635913,2,36,159,2
1636537,2,40,69,5
1636584,2,40,107,7
1637024,1,43,132,14
1637058,2,43,60,50
1637264,2,43,114,47
1637486,2,44,77,56
1637800,2,45,89,14
1638069,2,46,37,92
1638917,2,48,29,24
1639117,2,49,178,24
1639275,2,50,173,10
1639424,2,51,108,92
1639584,2,52,44,11
1639767,2,55,111,78
1640131,2,59,73,70
1640170,2,59,186,57
1640457,2,61,109,144
1640732,2,62,150,61
1640869,2,63,155,176
1640950,2,64,76,12
1640989,2,64,53,115
1641144,2,65,140,74
1641184,2,65,68,115
1641665,2,68,46,1
1642224,2,72,130,74
1642323,2,73,113,145
1642409,2,73,1,7
1642897,2,78,124,76
1642914,2,78,35,7
1642930,2,78,76,77
1643011,2,79,186,10
1643036,2,79,67,74
1643063,2,79,17,79
1643107,2,79,7,9
1643975,2,82,1,18
1643996,2,82,185,142
1644031,2,82,36,2
1644103,2,82,89,9
1644107,2,82,10,23
1644402,2,84,9,1
1644824,2,85,30,80
1645380,2,87,2,91
1645673,2,88,46,91
1646074,2,89,119,4
1646103,2,89,54,134
1646558,2,93,179,172
1647036,2,94,107,9
1647060,2,94,132,10
1647307,2,97,136,18
1647385,2,97,67,7
1647417,2,97,135,114
1647564,2,98,119,91
1647728,2,99,164,92
1647795,2,99,181,145
1647871,1,100,96,16
1648005,2,101,46,142
1648051,2,102,98,107
1648145,2,102,26,22
1648169,2,102,170,15
1648240,2,102,152,13
1648265,2,102,137,16
1648346,2,102,84,70
1648634,2,103,39,16
1648759,2,104,168,9
1648997,2,105,95,5
1649752,2,109,147,2
1649871,2,111,12,16
1650406,2,121,166,115
1650431,2,122,19,113
1650497,2,122,160,123
1650501,2,122,142,45
1650859,2,128,187,109
1651468,2,139,63,111
1651525,2,145,22,14
1651551,1,147,133,91
1651592,2,150,115,144
1651758,2,170,62,170
1651811,2,170,173,132
1651829,2,172,173,74
1651868,2,174,62,184
1651965,2,175,49,9
1652276,2,176,42,2
1652540,2,178,176,177
1652848,2,181,118,184
1652932,2,182,183,115
1652964,2,184,105,59
1653039,2,185,69,70
1653092,2,186,95,76
1728745,2,94,127,18
1728763,2,96,63,91
1728777,2,98,67,111
1728779,2,98,111,2
1729665,2,147,12,107
1730429,2,168,187,133
1730517,2,169,22,115
1730613,2,172,4,148
1730621,2,172,43,92
1730625,2,172,74,188
1730941,2,181,53,2
1731093,2,182,25,183
1731259,2,184,165,136
1731462,2,186,175,115
1774676,2,10,89,19
1774757,2,12,153,55
1774979,2,29,133,14
1774993,2,29,33,4
1775163,2,31,15,45
1775817,2,58,188,73
1776076,2,64,5,32
1776207,2,66,127,115
1776890,2,87,185,102
1777105,2,93,143,21
1777355,2,99,32,139
1777397,2,101,24,2
1777773,2,113,9,142
1778507,2,166,66,166
1807335,2,58,8,1
1807336,2,58,112,71
1807639,2,67,121,115
1807640,2,67,19,185
1808063,2,94,116,2
1808064,2,94,42,9
1808353,2,117,144,29
1808354,2,117,4,115
1809151,2,138,161,13
1809152,2,138,140,132
1809435,2,152,120,114
1809436,2,152,40,142
1809571,2,156,59,45
1809572,2,156,66,147
1809793,2,164,100,79
1809794,2,164,160,10
1809895,2,166,132,81
1809896,2,166,23,168
1810331,2,169,132,9
1810332,2,169,74,114
1874749,2,6,104,9
1874750,2,6,29,16
1875169,2,9,109,138
1875170,2,9,117,10
1876097,2,17,61,29
1876098,2,17,57,26
1877359,2,31,26,24
1877360,2,31,4,12
1877629,2,33,42,27
1877630,2,33,108,31
1877631,2,33,34,107
1877632,2,33,69,4
1878903,2,44,137,2
1878904,2,44,174,14
1879375,2,47,22,15
1879376,2,47,3,33
1879723,2,50,102,37
1879724,2,50,95,124
1879751,2,50,126,2
1879752,2,50,116,4
1880043,2,55,153,133
1880044,2,55,53,69
1880495,2,59,3,59
1880496,2,59,101,54
1881041,2,64,136,9
1881042,2,64,25,97
1881325,2,67,142,177
1881326,2,67,112,66
1881909,2,72,46,74
1881910,2,72,123,5
1882195,2,75,72,19
1882196,2,75,133,87
1882645,2,79,116,9
1882646,2,79,100,112
1882723,2,79,82,32
1882724,2,79,164,9
1883049,2,81,116,142
1883050,2,81,63,90
1884373,2,85,177,11
1884374,2,85,149,2
1885377,2,89,185,81
1885378,2,89,64,22
1885727,2,89,70,12
1885728,2,89,23,9
1885917,2,90,184,91
1885918,2,90,7,172
1886079,2,91,91,23
1886080,2,91,48,9
1886645,2,97,95,115
1886646,2,97,83,19
1886705,2,97,42,10
1886706,2,97,99,130
1887109,2,99,163,130
1887110,2,99,174,9
1888345,2,105,20,50
1888346,2,105,116,115
1888595,2,106,148,2
1888596,2,106,10,79
1889595,2,110,126,106
1889596,2,110,125,142
1890033,2,113,177,37
1890034,2,113,166,123
1890453,2,117,94,112
1890454,2,117,34,115
1891201,2,127,2,28
1891202,2,127,129,170
1891217,2,127,75,20
1891218,2,127,131,133
1891771,2,138,132,40
1891772,2,138,38,45
1892007,2,161,162,91
1892008,2,161,110,4
1892567,2,175,56,53
1892568,2,175,184,21
1892609,2,175,86,52
1892610,2,175,8,177
1892811,2,177,36,54
1892812,2,177,65,11
1892909,2,177,43,190
1892910,2,177,182,92
1892929,2,178,187,75
1892930,2,178,6,21
1892965,2,178,124,71
1892966,2,178,74,133
1893527,2,182,171,14
1893528,2,182,189,7
1893581,2,183,143,92
1893582,2,183,43,26
1893709,2,184,18,188
1893710,2,184,87,22
1894081,2,190,21,133
1894082,2,190,181,2
1960893,2,132,160,92
1961239,2,179,92,1
1979617,2,9,74,41
1979659,2,10,61,9
1981993,2,89,149,14
1982511,2,102,120,16
1983157,2,122,13,115
1983223,2,128,152,123
2005123,2,79,130,46
2005124,2,79,69,16
2017643,2,181,56,70
2033275,2,26,81,12
2033531,2,84,133,113
