DDP,EARNS,ESR,GRADE,HOURS,MSP,PAUG,PERID,PNUM,POVERTY,RELATE,WEEKS,age,household_id,padkid,pagecat,pemploy,pstudent,ptype,sex
-1,-1,-1,-1,-1,-1,-1,279306,1,-1,-1,-1,51,270574,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279307,1,-1,-1,-1,51,270578,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279308,1,-1,-1,-1,51,270587,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279309,1,-1,-1,-1,51,270588,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279310,1,-1,-1,-1,51,270597,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279311,1,-1,-1,-1,51,270598,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279312,1,-1,-1,-1,51,270606,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279313,1,-1,-1,-1,51,270607,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279314,1,-1,-1,-1,51,270611,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279315,1,-1,-1,-1,51,270614,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279316,1,-1,-1,-1,51,270617,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279317,1,-1,-1,-1,51,270620,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279318,1,-1,-1,-1,51,270627,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279319,1,-1,-1,-1,51,270634,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279320,1,-1,-1,-1,51,270636,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279321,1,-1,-1,-1,51,270643,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279322,1,-1,-1,-1,51,270644,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279323,1,-1,-1,-1,51,270650,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279324,1,-1,-1,-1,51,270656,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279325,1,-1,-1,-1,47,270570,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279326,1,-1,-1,-1,47,270571,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279327,1,-1,-1,-1,47,270572,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279328,1,-1,-1,-1,47,270573,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279329,1,-1,-1,-1,47,270575,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279330,1,-1,-1,-1,47,270576,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279331,1,-1,-1,-1,47,270577,-1,-1,1,3,1,1
-1,-1,-1,-1,-1,-1,-1,279332,1,-1,-1,-1,47,270579,-1,-1,1,3,1,1
