BLDGSZ,HHID,HHT,MAZ,NOC,PERSONS,PUMA5,SERIALNO,TENURE,UNITTYPE,VEHICL,bucketBin,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,hNOCcat,hadkids,hadnwst,hadwpst,hinccat1,hinccat2,hmultiunit,hownrent,hsizecat,htypdwel,hunittype,hwrkrcat,income,workers
2.0,250359,4.0,4863,0.0,1,11603,2017000273501,1.0,1,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,8.0,0,1,1,1.0,1,0.0,97060,1.0
2.0,250360,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250361,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250362,4.0,4863,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250363,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250364,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250365,4.0,13923,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250366,4.0,29642,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250367,4.0,4691,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250368,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
2.0,250369,4.0,18601,0.0,1,11603,2016001511822,1.0,1,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,7.0,0,1,1,1.0,1,0.0,65000,1.0
