person_id,household_id
0,99595
1,14712
2,89163
3,2952
4,41513
5,4211
6,84872
7,72886
8,44295
9,106796
10,95907
11,46125
12,98673
13,52364
14,110544
15,45322
16,32884
17,74491
18,45450
19,94362
20,50803
21,19980
22,62259
23,110818
24,97858
25,66180
26,34067
27,68555
28,97022
29,27863
30,27200
31,28824
32,104784
33,107317
34,91538
35,16301
36,80538
37,7578
38,67379
39,111390
40,5313
41,112132
42,62202
43,57468
44,71066
45,60407
46,18554
47,86098
48,86084
49,19037
50,82920
51,95081
52,99523
53,7239
54,103628
55,73012
56,103397
57,74544
58,107131
59,44425
60,14120
61,102233
62,69286
63,3555
64,108127
65,70855
66,63216
67,43982
68,24810
69,55158
70,28591
71,66157
72,8781
73,104961
74,38201
75,28293
76,43060
77,42092
78,47799
79,48007
80,73967
81,16151
82,33369
83,51883
84,21279
85,56229
86,77846
87,25241
88,26782
89,63038
90,76006
91,33410
92,92080
93,101653
94,42392
95,50538
96,93449
97,36104
98,58739
99,15857
100,81297
101,87204
102,69504
103,49090
104,83871
105,24549
106,71280
107,2677
108,64566
109,96479
110,25335
111,31520
112,31918
113,77394
114,106234
115,35211
116,39851
117,98210
118,105023
119,32949
120,28511
121,110967
122,85288
123,61309
124,49524
125,19184
126,87809
127,54822
128,21035
129,8973
130,75961
131,78558
132,30677
133,48296
134,55367
135,53066
136,113088
137,17139
138,32699
139,109446
140,62587
141,46480
142,93895
143,105181
144,106036
145,28132
146,91404
147,84631
148,87720
149,63512
150,38112
151,1449
152,96565
153,67789
154,58137
155,84907
156,43105
157,21217
158,84989
159,72865
160,14988
161,111040
162,13313
163,71103
164,79696
165,23672
166,83546
167,36022
168,20747
169,44831
170,102017
171,102184
172,69038
173,55944
174,61873
175,96839
176,64799
177,38037
178,76549
179,9940
180,20596
181,31812
182,22412
183,104707
184,49289
185,8309
186,13922
187,75422
188,31926
189,10021
190,76120
191,24848
192,29256
193,97392
194,3087
195,57483
196,37837
197,49952
198,89734
199,68731
200,52408
201,1437
202,44698
203,111014
204,12390
205,108343
206,107039
207,5844
208,41454
209,40112
210,63282
211,62792
