tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
1847819,18478190,45068,45068,school,mandatory,412.0,412.0,18.0,18.0,WALK,,,,169,,0out_0in
1932402,19324020,47131,47131,school,mandatory,557.0,519.0,16.0,21.0,DRIVEALONEFREE,,,,159,,1out_0in
2573396,25733960,62765,62765,school,mandatory,1019.0,1007.0,17.0,17.0,WALK_LOC,,,,162,,0out_0in
2974630,29746300,72551,72551,work,mandatory,5.0,72.0,6.0,16.0,BIKE,,,,29,no_subtours,0out_0in
3129077,31290770,76318,76318,work,mandatory,142.0,248.0,9.0,18.0,DRIVEALONEFREE,,,,79,no_subtours,1out_1in
3339325,33393250,81446,81446,work,mandatory,582.0,541.0,7.0,12.0,DRIVEALONEFREE,,,,42,no_subtours,0out_0in
3339326,33393260,81446,81446,work,mandatory,582.0,541.0,14.0,17.0,SHARED3FREE,,,,138,no_subtours,0out_0in
3402916,34029160,82997,82997,work,mandatory,435.0,652.0,5.0,15.0,DRIVEALONEFREE,,,,10,no_subtours,1out_0in
3477864,34778640,84825,84825,work,mandatory,742.0,715.0,7.0,16.0,DRIVEALONEFREE,,,,46,no_subtours,0out_0in
3779870,37798700,92191,92191,work,mandatory,16.0,990.0,8.0,19.0,DRIVEALONEFREE,,,,65,no_subtours,1out_1in
3827799,38277990,93360,93360,work,mandatory,1018.0,1047.0,6.0,16.0,WALK_HVY,,,,29,eat,0out_0in
3844568,38445680,93769,93769,work,mandatory,971.0,1056.0,8.0,19.0,WALK_HVY,,,,65,no_subtours,1out_1in
3867733,38677330,94334,94334,work,mandatory,1069.0,1077.0,6.0,17.0,DRIVEALONEFREE,,,,30,no_subtours,0out_0in
3875277,38752770,94518,94518,work,mandatory,784.0,1081.0,7.0,19.0,WALK_HVY,,,,49,no_subtours,1out_0in
