tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
1847819,45068,45068,school,mandatory,412.0,412.0,18.0,18.0,WALK,
1932402,47131,47131,school,mandatory,557.0,519.0,16.0,21.0,DRIVEALONEFREE,
2573396,62765,62765,school,mandatory,1019.0,1007.0,17.0,17.0,WALK_LOC,
2974630,72551,72551,work,mandatory,5.0,72.0,6.0,16.0,BIKE,
3129077,76318,76318,work,mandatory,142.0,248.0,9.0,18.0,DRIVEALONEFREE,
3339325,81446,81446,work,mandatory,582.0,541.0,7.0,12.0,DRIVEALONEFREE,
3339326,81446,81446,work,mandatory,582.0,541.0,14.0,17.0,SHARED3FREE,
3402916,82997,82997,work,mandatory,435.0,652.0,5.0,15.0,DRIVEALONEFREE,
3477864,84825,84825,work,mandatory,742.0,715.0,7.0,16.0,DRIVEALONEFREE,
3779870,92191,92191,work,mandatory,16.0,990.0,8.0,19.0,DRIVEALONEFREE,
3827799,93360,93360,work,mandatory,1018.0,1047.0,6.0,16.0,WALK_HVY,
3844568,93769,93769,work,mandatory,971.0,1056.0,8.0,19.0,WALK_HVY,
3867733,94334,94334,work,mandatory,1069.0,1077.0,6.0,17.0,DRIVEALONEFREE,
3875277,94518,94518,work,mandatory,784.0,1081.0,7.0,19.0,WALK_HVY,
3954038,96439,96439,work,mandatory,1146.0,1144.0,5.0,17.0,BIKE,
4044648,98649,98649,work,mandatory,1197.0,1197.0,7.0,17.0,DRIVEALONEFREE,
4094217,99858,99858,work,mandatory,1265.0,1251.0,7.0,17.0,DRIVEALONEFREE,
4100613,100014,100014,work,mandatory,1238.0,1260.0,12.0,17.0,DRIVEALONEFREE,
4124680,100601,100601,work,mandatory,1282.0,1271.0,7.0,21.0,DRIVEALONEFREE,
4162195,101516,101516,work,mandatory,1231.0,1292.0,11.0,18.0,DRIVEALONEFREE,
4178882,101923,101923,work,mandatory,1306.0,1304.0,8.0,17.0,DRIVEALONEFREE,
4227426,103107,103107,work,mandatory,1429.0,1326.0,8.0,18.0,DRIVEALONEFREE,
4237348,103349,103349,work,mandatory,1335.0,1332.0,6.0,23.0,DRIVEALONEFREE,
4277200,104321,104321,work,mandatory,1359.0,1359.0,6.0,15.0,DRIVEALONEFREE,
4290443,104644,104644,work,mandatory,1361.0,1369.0,7.0,17.0,WALK_LOC,
4312870,105191,105191,work,mandatory,1384.0,1383.0,5.0,14.0,DRIVEALONEFREE,
4384866,106947,106947,work,mandatory,1421.0,1425.0,7.0,17.0,DRIVEALONEFREE,
4506841,109922,109922,work,mandatory,1011.0,11.0,7.0,17.0,WALK_HVY,
4538288,110689,110689,work,mandatory,2.0,16.0,7.0,10.0,WALK,
4568341,111422,111422,work,mandatory,1.0,16.0,7.0,16.0,WALK_LOC,
4681419,114180,114180,work,mandatory,75.0,32.0,8.0,19.0,WALK,
4687979,114340,114340,work,mandatory,106.0,33.0,5.0,17.0,WALK_LRF,
4838367,118008,118008,work,mandatory,115.0,67.0,7.0,14.0,WALK_LOC,
4954807,120848,120848,work,mandatory,85.0,85.0,8.0,13.0,BIKE,
5123276,124957,124957,work,mandatory,116.0,110.0,7.0,18.0,WALK_LOC,
5162800,125921,125921,work,mandatory,142.0,113.0,16.0,20.0,DRIVEALONEFREE,
5609290,136811,136811,work,mandatory,351.0,372.0,9.0,20.0,DRIVEALONEFREE,
5616465,136986,136986,work,mandatory,355.0,374.0,5.0,12.0,DRIVEALONEFREE,
5752175,140296,140296,work,mandatory,416.0,422.0,8.0,19.0,WALK_LRF,
5797316,141397,141397,work,mandatory,543.0,440.0,7.0,18.0,DRIVEALONEFREE,
5863654,143015,143015,work,mandatory,484.0,468.0,6.0,18.0,DRIVEALONEFREE,
5895306,143787,143787,work,mandatory,517.0,499.0,6.0,13.0,DRIVEALONEFREE,
5968573,145574,145574,work,mandatory,686.0,540.0,7.0,21.0,BIKE,
