trip_id,person_id,household_id,tour_id,outbound,purpose,destination,origin,depart,trip_mode
2286865,6972,6972,285858,True,eatout,465,494,14.0,DRIVEALONEFREE
2286869,6972,6972,285858,False,Home,494,465,16.0,TNC_SHARED
2286889,6972,6972,285861,True,escort,499,494,14.0,DRIVEALONEFREE
2286893,6972,6972,285861,False,Home,494,499,14.0,SHARED2FREE
3119481,9510,9510,389935,True,othdiscr,595,631,11.0,DRIVEALONEFREE
3119485,9510,9510,389935,False,eatout,596,595,13.0,SHARED3FREE
3119486,9510,9510,389935,False,Home,631,596,13.0,DRIVEALONEFREE
3840929,11710,11710,480116,True,eatout,729,720,9.0,DRIVEALONEPAY
3840933,11710,11710,480116,False,Home,720,729,14.0,DRIVEALONEFREE
3977857,12127,12127,497232,True,othdiscr,743,725,17.0,DRIVEALONEFREE
3977861,12127,12127,497232,False,Home,725,743,18.0,DRIVEALONEFREE
3977921,12127,12127,497240,True,othmaint,742,725,14.0,DRIVEALONEFREE
3977922,12127,12127,497240,True,shopping,733,742,16.0,TNC_SINGLE
3977925,12127,12127,497240,False,Home,725,733,17.0,TNC_SINGLE
4276009,13036,13036,534501,True,shopping,760,749,15.0,SHARED3FREE
4276010,13036,13036,534501,True,othdiscr,760,760,15.0,SHARED3FREE
4276013,13036,13036,534501,False,Home,749,760,19.0,SHARED3FREE
6370641,19422,19422,796330,True,othmaint,1122,1139,13.0,DRIVEALONEFREE
6370645,19422,19422,796330,False,Home,1139,1122,16.0,DRIVEALONEFREE
7064009,21536,21536,883001,True,othdiscr,1206,1202,12.0,WALK_LOC
7064013,21536,21536,883001,False,shopping,1189,1206,14.0,TNC_SINGLE
7064014,21536,21536,883001,False,Home,1202,1189,14.0,TNC_SINGLE
9800537,29879,29879,1225067,True,othmaint,1029,17,11.0,DRIVEALONEFREE
9800541,29879,29879,1225067,False,Home,17,1029,12.0,DRIVEALONEFREE
11008209,33561,33561,1376026,True,othdiscr,79,93,16.0,SHARED3FREE
11008213,33561,33561,1376026,False,Home,93,79,22.0,SHARED3FREE
11761689,35858,35858,1470211,True,shopping,8,122,9.0,WALK_HVY
11761693,35858,35858,1470211,False,eatout,10,8,21.0,WALK_LOC
11761694,35858,35858,1470211,False,Home,122,10,21.0,WALK_LOC
12518649,38166,38166,1564831,True,othdiscr,134,205,17.0,WALK_LOC
12518653,38166,38166,1564831,False,shopping,157,134,19.0,WALK_LOC
12518654,38166,38166,1564831,False,Home,205,157,19.0,WALK_LOC
12518673,38166,38166,1564834,True,othmaint,136,205,11.0,WALK_LOC
