person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
5385,5385,64,1,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
6972,6972,60,1,1,3,3,4,-1,-1,False,N,,1,0,0,0,1,0,36
9510,9510,57,1,2,3,2,3,557,-1,False,N,,0,0,0,1,0,0,1
11710,11710,32,1,1,3,3,4,-1,-1,False,N,,0,0,0,0,1,0,4
12127,12127,45,1,1,3,3,4,-1,-1,False,N,,0,1,0,1,0,0,17
13036,13036,34,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
19422,19422,61,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
21536,21536,57,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
29879,29879,54,1,1,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
33561,33561,53,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
35858,35858,30,1,1,3,3,4,-1,-1,False,N,,0,1,0,0,0,0,16
38166,38166,31,1,2,3,3,4,-1,-1,False,N,,0,0,1,1,0,0,9
41475,41475,51,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
43571,43571,26,1,1,3,3,4,-1,-1,False,N,,1,0,0,0,1,0,36
45068,45068,26,1,1,3,2,3,412,-1,False,M,school1,0,0,0,0,0,0,0
46184,46184,48,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
46698,46698,22,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
47131,47131,35,1,2,3,2,3,557,-1,False,M,school1,0,0,0,0,0,0,0
47162,47162,49,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
48085,48085,21,1,2,3,2,3,557,-1,False,N,,0,1,0,0,0,0,16
49045,49045,23,1,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
49985,49985,55,1,2,3,3,4,-1,-1,False,N,,0,0,0,0,1,0,4
51008,51008,26,1,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
51783,51783,48,1,2,3,3,4,-1,-1,False,N,,0,0,0,0,0,1,2
53657,53657,40,1,2,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
55322,55322,42,1,1,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
56499,56499,39,1,1,3,3,4,-1,-1,False,N,,0,0,0,1,1,0,5
56800,56800,49,1,1,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
57634,57634,50,1,2,3,3,4,-1,-1,False,N,,0,0,1,0,0,0,8
57879,57879,63,1,1,3,3,4,-1,-1,False,N,,0,0,1,1,0,0,9
58458,58458,45,1,1,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
59040,59040,39,1,1,3,2,3,1019,-1,False,N,,0,1,0,0,0,0,16
62765,62765,20,1,1,3,2,3,1019,-1,False,M,school1,0,0,0,0,0,0,0
67064,67064,56,1,2,3,3,4,-1,-1,False,N,,0,0,2,0,0,0,8
68850,68850,50,1,2,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
70653,70653,51,1,1,3,3,4,-1,-1,False,H,,0,0,0,0,0,0,0
71028,71028,45,1,2,3,3,4,-1,-1,False,N,,0,0,0,1,0,0,1
72551,72551,60,1,2,2,3,2,-1,5,False,M,work1,0,0,0,0,0,0,0
76016,76016,26,1,2,2,2,3,229,32,False,N,,2,0,0,1,0,0,65
76318,76318,53,1,1,1,3,1,-1,142,False,M,work1,0,1,0,0,0,0,16
80182,80182,52,1,1,1,3,1,-1,558,True,N,,0,0,0,2,1,0,5
81446,81446,54,1,2,2,3,2,-1,582,False,M,work2,0,0,0,0,0,0,0
82997,82997,38,1,1,2,3,2,-1,435,False,M,work1,0,0,0,0,0,0,0
84825,84825,41,1,2,1,3,1,-1,742,True,M,work1,0,0,0,0,0,0,0
85057,85057,53,1,2,1,3,1,-1,797,True,H,,0,0,0,0,0,0,0
89079,89079,40,1,2,1,3,1,-1,873,False,N,,0,1,0,0,0,0,16
92191,92191,44,1,2,1,3,1,-1,16,True,M,work1,0,0,0,0,0,0,0
93360,93360,60,1,2,2,3,2,-1,1018,False,M,work1,0,0,0,0,0,0,0
93769,93769,45,1,2,1,3,1,-1,971,False,M,work1,0,0,0,0,0,0,0
94334,94334,37,1,2,1,3,1,-1,1069,False,M,work1,0,2,0,1,0,0,17
