Token,File,Matrix,TimePeriod
SOV_TIME,hwyskmAM.omx,TIMEDA,AM
SOV_DIST,hwyskmAM.omx,DISTDA,AM
SOV_BTOLL,hwyskmAM.omx,BTOLLDA,AM
HOV2_TIME,hwyskmAM.omx,TIMES2,AM
HOV2_DIST,hwyskmAM.omx,DISTS2,AM
HOV2_BTOLL,hwyskmAM.omx,BTOLLS2,AM
HOV3_TIME,hwyskmAM.omx,TIMES3,AM
HOV3_DIST,hwyskmAM.omx,DISTS3,AM
HOV3_BTOLL,hwyskmAM.omx,BTOLLS3,AM
SOVTOLL_TIME,hwyskmAM.omx,TOLLTIMEDA,AM
SOVTOLL_DIST,hwyskmAM.omx,TOLLDISTDA,AM
SOVTOLL_BTOLL,hwyskmAM.omx,TOLLBTOLLDA,AM
SOVTOLL_VTOLL,hwyskmAM.omx,TOLLVTOLLDA,AM
HOV2TOLL_TIME,hwyskmAM.omx,TOLLTIMES2,AM
HOV2TOLL_DIST,hwyskmAM.omx,TOLLDISTS2,AM
HOV2TOLL_BTOLL,hwyskmAM.omx,TOLLBTOLLS2,AM
HOV2TOLL_VTOLL,hwyskmAM.omx,TOLLVTOLLS2,AM
HOV3TOLL_TIME,hwyskmAM.omx,TOLLTIMES3,AM
HOV3TOLL_DIST,hwyskmAM.omx,TOLLDISTS3,AM
HOV3TOLL_BTOLL,hwyskmAM.omx,TOLLBTOLLS3,AM
HOV3TOLL_VTOLL,hwyskmAM.omx,TOLLVTOLLS3,AM
SOV_TIME,hwyskmEA.omx,TIMEDA,EA
SOV_DIST,hwyskmEA.omx,DISTDA,EA
SOV_BTOLL,hwyskmEA.omx,BTOLLDA,EA
HOV2_TIME,hwyskmEA.omx,TIMES2,EA
HOV2_DIST,hwyskmEA.omx,DISTS2,EA
HOV2_BTOLL,hwyskmEA.omx,BTOLLS2,EA
HOV3_TIME,hwyskmEA.omx,TIMES3,EA
HOV3_DIST,hwyskmEA.omx,DISTS3,EA
HOV3_BTOLL,hwyskmEA.omx,BTOLLS3,EA
SOVTOLL_TIME,hwyskmEA.omx,TOLLTIMEDA,EA
SOVTOLL_DIST,hwyskmEA.omx,TOLLDISTDA,EA
SOVTOLL_BTOLL,hwyskmEA.omx,TOLLBTOLLDA,EA
SOVTOLL_VTOLL,hwyskmEA.omx,TOLLVTOLLDA,EA
HOV2TOLL_TIME,hwyskmEA.omx,TOLLTIMES2,EA
HOV2TOLL_DIST,hwyskmEA.omx,TOLLDISTS2,EA
HOV2TOLL_BTOLL,hwyskmEA.omx,TOLLBTOLLS2,EA
HOV2TOLL_VTOLL,hwyskmEA.omx,TOLLVTOLLS2,EA
HOV3TOLL_TIME,hwyskmEA.omx,TOLLTIMES3,EA
HOV3TOLL_DIST,hwyskmEA.omx,TOLLDISTS3,EA
HOV3TOLL_BTOLL,hwyskmEA.omx,TOLLBTOLLS3,EA
HOV3TOLL_VTOLL,hwyskmEA.omx,TOLLVTOLLS3,EA
SOV_TIME,hwyskmEV.omx,TIMEDA,EV
SOV_DIST,hwyskmEV.omx,DISTDA,EV
SOV_BTOLL,hwyskmEV.omx,BTOLLDA,EV
HOV2_TIME,hwyskmEV.omx,TIMES2,EV
HOV2_DIST,hwyskmEV.omx,DISTS2,EV
HOV2_BTOLL,hwyskmEV.omx,BTOLLS2,EV
HOV3_TIME,hwyskmEV.omx,TIMES3,EV
HOV3_DIST,hwyskmEV.omx,DISTS3,EV
HOV3_BTOLL,hwyskmEV.omx,BTOLLS3,EV
SOVTOLL_TIME,hwyskmEV.omx,TOLLTIMEDA,EV
SOVTOLL_DIST,hwyskmEV.omx,TOLLDISTDA,EV
SOVTOLL_BTOLL,hwyskmEV.omx,TOLLBTOLLDA,EV
SOVTOLL_VTOLL,hwyskmEV.omx,TOLLVTOLLDA,EV
HOV2TOLL_TIME,hwyskmEV.omx,TOLLTIMES2,EV
HOV2TOLL_DIST,hwyskmEV.omx,TOLLDISTS2,EV
HOV2TOLL_BTOLL,hwyskmEV.omx,TOLLBTOLLS2,EV
HOV2TOLL_VTOLL,hwyskmEV.omx,TOLLVTOLLS2,EV
HOV3TOLL_TIME,hwyskmEV.omx,TOLLTIMES3,EV
HOV3TOLL_DIST,hwyskmEV.omx,TOLLDISTS3,EV
HOV3TOLL_BTOLL,hwyskmEV.omx,TOLLBTOLLS3,EV
HOV3TOLL_VTOLL,hwyskmEV.omx,TOLLVTOLLS3,EV
SOV_TIME,hwyskmMD.omx,TIMEDA,MD
SOV_DIST,hwyskmMD.omx,DISTDA,MD
SOV_BTOLL,hwyskmMD.omx,BTOLLDA,MD
HOV2_TIME,hwyskmMD.omx,TIMES2,MD
HOV2_DIST,hwyskmMD.omx,DISTS2,MD
HOV2_BTOLL,hwyskmMD.omx,BTOLLS2,MD
HOV3_TIME,hwyskmMD.omx,TIMES3,MD
HOV3_DIST,hwyskmMD.omx,DISTS3,MD
HOV3_BTOLL,hwyskmMD.omx,BTOLLS3,MD
SOVTOLL_TIME,hwyskmMD.omx,TOLLTIMEDA,MD
SOVTOLL_DIST,hwyskmMD.omx,TOLLDISTDA,MD
SOVTOLL_BTOLL,hwyskmMD.omx,TOLLBTOLLDA,MD
SOVTOLL_VTOLL,hwyskmMD.omx,TOLLVTOLLDA,MD
HOV2TOLL_TIME,hwyskmMD.omx,TOLLTIMES2,MD
HOV2TOLL_DIST,hwyskmMD.omx,TOLLDISTS2,MD
HOV2TOLL_BTOLL,hwyskmMD.omx,TOLLBTOLLS2,MD
HOV2TOLL_VTOLL,hwyskmMD.omx,TOLLVTOLLS2,MD
HOV3TOLL_TIME,hwyskmMD.omx,TOLLTIMES3,MD
HOV3TOLL_DIST,hwyskmMD.omx,TOLLDISTS3,MD
HOV3TOLL_BTOLL,hwyskmMD.omx,TOLLBTOLLS3,MD
HOV3TOLL_VTOLL,hwyskmMD.omx,TOLLVTOLLS3,MD
SOV_TIME,hwyskmPM.omx,TIMEDA,PM
SOV_DIST,hwyskmPM.omx,DISTDA,PM
SOV_BTOLL,hwyskmPM.omx,BTOLLDA,PM
HOV2_TIME,hwyskmPM.omx,TIMES2,PM
HOV2_DIST,hwyskmPM.omx,DISTS2,PM
HOV2_BTOLL,hwyskmPM.omx,BTOLLS2,PM
HOV3_TIME,hwyskmPM.omx,TIMES3,PM
HOV3_DIST,hwyskmPM.omx,DISTS3,PM
HOV3_BTOLL,hwyskmPM.omx,BTOLLS3,PM
SOVTOLL_TIME,hwyskmPM.omx,TOLLTIMEDA,PM
SOVTOLL_DIST,hwyskmPM.omx,TOLLDISTDA,PM
SOVTOLL_BTOLL,hwyskmPM.omx,TOLLBTOLLDA,PM
SOVTOLL_VTOLL,hwyskmPM.omx,TOLLVTOLLDA,PM
HOV2TOLL_TIME,hwyskmPM.omx,TOLLTIMES2,PM
HOV2TOLL_DIST,hwyskmPM.omx,TOLLDISTS2,PM
HOV2TOLL_BTOLL,hwyskmPM.omx,TOLLBTOLLS2,PM
HOV2TOLL_VTOLL,hwyskmPM.omx,TOLLVTOLLS2,PM
HOV3TOLL_TIME,hwyskmPM.omx,TOLLTIMES3,PM
HOV3TOLL_DIST,hwyskmPM.omx,TOLLDISTS3,PM
HOV3TOLL_BTOLL,hwyskmPM.omx,TOLLBTOLLS3,PM
HOV3TOLL_VTOLL,hwyskmPM.omx,TOLLVTOLLS3,PM
DIST,nonmotskm.omx,DIST,
DISTWALK,nonmotskm.omx,DISTWALK,
DISTBIKE,nonmotskm.omx,DISTBIKE,
DRV_COM_WLK_WAIT,trnskmAM_DRV_COM_WLK.omx,wait,AM
DRV_COM_WLK_TOTIVT,trnskmAM_DRV_COM_WLK.omx,ivt,AM
DRV_COM_WLK_KEYIVT,trnskmAM_DRV_COM_WLK.omx,ivtCOM,AM
DRV_COM_WLK_FAR,trnskmAM_DRV_COM_WLK.omx,fare,AM
DRV_COM_WLK_DTIM,trnskmAM_DRV_COM_WLK.omx,dtime,AM
DRV_COM_WLK_DDIST,trnskmAM_DRV_COM_WLK.omx,ddist,AM
DRV_COM_WLK_WAUX,trnskmAM_DRV_COM_WLK.omx,waux,AM
DRV_COM_WLK_IWAIT,trnskmAM_DRV_COM_WLK.omx,iwait,AM
DRV_COM_WLK_XWAIT,trnskmAM_DRV_COM_WLK.omx,xwait,AM
DRV_COM_WLK_BOARDS,trnskmAM_DRV_COM_WLK.omx,boards,AM
DRV_EXP_WLK_WAIT,trnskmAM_DRV_EXP_WLK.omx,wait,AM
DRV_EXP_WLK_TOTIVT,trnskmAM_DRV_EXP_WLK.omx,ivt,AM
DRV_EXP_WLK_KEYIVT,trnskmAM_DRV_EXP_WLK.omx,ivtEXP,AM
DRV_EXP_WLK_FAR,trnskmAM_DRV_EXP_WLK.omx,fare,AM
DRV_EXP_WLK_DTIM,trnskmAM_DRV_EXP_WLK.omx,dtime,AM
