PERID,household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ
233399,79298,72,1,1,3,3,5,13
233400,79298,73,2,2,3,3,5,9
233401,79299,50,1,2,1,3,1,13
233402,79299,58,2,1,1,3,1,9
233419,79310,20,1,1,2,2,3,13
233420,79310,19,2,1,3,2,3,9
233421,79310,57,3,1,1,3,1,13
233422,79310,57,4,2,3,3,4,13
233425,79312,18,1,2,3,2,3,9
233426,79312,54,2,2,1,3,1,9
233446,79320,22,1,1,2,3,2,9
233447,79320,60,2,2,3,3,4,13
233460,79324,85,1,1,3,3,5,9
233461,79324,71,2,2,2,3,2,13
233490,79337,74,1,2,3,3,5,13
233498,79341,72,1,1,3,3,5,9
233499,79341,71,2,2,3,3,5,9
233503,79344,56,1,1,3,3,4,9
233504,79344,86,2,2,3,3,5,1
233527,79353,60,1,2,1,3,1,13
233528,79353,64,2,1,1,3,1,13
233547,79359,9,1,2,4,1,7,1
233548,79359,15,2,2,4,1,7,1
233549,79359,19,3,1,3,2,3,9
233550,79359,16,4,2,3,1,6,1
233551,79359,46,5,2,1,3,1,9
233571,79368,48,1,2,1,3,1,13
233572,79368,55,2,1,1,3,1,9
233587,79374,22,1,2,1,2,1,9
233588,79374,42,2,1,1,3,1,13
233589,79374,50,3,2,1,3,1,13
233600,79380,19,1,1,3,2,3,9
233601,79380,22,2,1,3,3,4,9
233602,79380,17,3,2,3,1,6,1
233603,79380,19,4,1,3,2,3,9
233604,79380,35,5,2,1,3,1,9
233605,79380,3,6,2,4,3,8,1
233620,79387,34,1,1,1,3,1,13
233621,79387,36,2,1,1,3,1,9
233657,79401,21,1,2,3,3,4,9
233658,79401,69,2,2,3,3,5,9
233659,79401,70,3,2,1,3,1,9
233668,79405,43,1,1,1,3,1,13
233669,79405,27,2,2,1,2,1,9
233670,79405,87,3,1,3,3,5,13
233671,79405,68,4,2,3,3,5,9
233672,79405,4,5,1,4,3,8,1
233674,79407,12,1,1,4,1,7,1
233675,79407,60,2,1,3,3,4,13
233680,79410,85,1,2,3,3,5,1
233681,79410,60,2,1,3,3,4,13
233726,79429,50,1,1,1,3,1,9
233727,79429,31,2,2,1,3,1,13
233728,79429,1,3,1,4,3,8,1
233759,79442,51,1,1,1,3,1,9
233760,79442,69,2,2,3,3,5,13
233768,79445,34,1,1,1,3,1,1
233769,79445,63,2,2,3,3,4,13
233792,79455,60,1,1,3,3,4,9
233793,79455,72,2,2,3,3,5,13
233808,79463,7,1,2,4,1,7,1
233809,79463,43,2,2,1,3,1,9
233890,79496,81,1,2,3,3,5,13
233891,79496,70,2,1,2,3,2,9
233892,79497,20,1,2,3,2,3,9
233893,79497,19,2,1,3,2,3,9
233894,79497,18,3,2,3,2,3,9
233895,79497,9,4,1,4,1,7,1
233896,79497,67,5,2,1,3,1,13
233925,79510,9,1,2,4,1,7,1
233926,79510,10,2,2,4,1,7,1
233927,79510,44,3,2,2,3,2,13
233928,79510,33,4,1,3,3,4,9
233957,79521,11,1,1,4,1,7,1
233958,79521,12,2,1,4,1,7,1
233959,79521,50,3,2,1,3,1,13
233960,79521,33,4,1,3,3,4,9
233978,79531,12,1,2,4,1,7,1
233979,79531,21,2,1,2,3,2,13
