HHID,PERSONS,workers,VEHICL,TAZ,income,HHT,unittype,bldgsz
6538,2,2,0,3195,47324,1,0,8
6913,2,2,0,3598,56004,1,0,2
6961,2,1,0,3590,38849,3,0,2
6972,4,2,0,3375,17002,3,0,8
7011,1,0,0,3314,16105,6,0,8
7070,2,1,0,3400,16906,3,0,8
7244,2,1,0,3195,138154,7,0,2
7318,3,1,0,3460,58887,3,0,8
8302,2,1,0,3259,104751,5,0,8
8363,3,0,0,3502,8386,5,0,8
8487,4,1,0,3705,75759,3,0,2
8493,5,1,0,3317,13225,3,0,2
8539,1,1,0,3729,53351,4,0,2
10239,5,1,0,3363,1312,1,0,8
11076,5,2,0,3395,61714,1,0,3
11077,3,2,0,3395,313863,1,0,8
11078,3,2,0,3396,1716,1,0,8
11079,2,2,0,3395,175434,1,0,8
11080,2,2,0,3396,20473,1,0,2
11081,2,2,0,3397,23417,5,0,2
11082,3,2,0,3396,32963,3,0,8
11083,3,2,0,3396,70365,1,0,8
11084,3,2,0,3397,48955,3,0,8
11085,4,2,0,3395,37865,1,0,8
11086,2,1,0,3396,67462,1,0,8
11087,5,2,0,3396,43334,1,0,8
11088,4,2,0,3397,246383,1,0,2
11089,3,1,0,3395,74857,3,0,8
11090,2,1,0,3396,173674,1,0,8
11091,3,1,0,3396,26437,7,0,8
11092,2,1,0,3395,58265,7,0,8
11093,3,2,0,3397,65424,1,0,8
11094,4,3,0,3396,18139,7,0,2
11095,2,2,0,3397,253131,5,0,8
11096,3,2,0,3396,37329,1,0,8
11097,6,2,0,3396,104986,1,0,8
11098,2,1,0,3397,31108,3,0,2
11099,3,2,0,3397,29103,3,0,3
11100,3,2,0,3395,35297,1,0,8
11101,2,2,0,3396,13401,7,0,8
11102,5,1,0,3397,88331,1,0,8
11103,6,2,0,3396,26868,1,0,8
11104,2,0,0,3395,29202,3,0,8
11105,2,2,0,3397,38803,7,0,8
11106,2,1,0,3396,15947,5,0,3
11107,4,1,0,3397,18629,1,0,8
11108,5,2,0,3396,20193,1,0,2
11109,2,1,0,3397,13122,3,0,8
11110,3,3,0,3397,125161,1,0,2
11111,2,2,0,3396,57638,1,0,8
11112,3,2,0,3395,31059,7,0,2
11113,5,2,0,3396,33616,1,0,8
11114,3,1,0,3396,32636,1,0,2
11115,2,1,0,3396,44047,5,0,8
11116,2,1,0,3397,12100,3,0,8
11117,3,1,0,3396,4795,2,0,8
11118,5,2,0,3397,118119,1,0,8
11119,2,2,0,3396,22434,5,0,2
11120,5,1,0,3397,35904,1,0,8
11121,3,1,0,3395,41938,7,0,8
11122,2,1,0,3397,23309,1,0,8
11123,3,3,0,3396,128529,2,0,8
11124,3,3,0,3396,25214,1,0,8
11125,4,1,0,3397,26274,1,0,8
11126,2,0,0,3395,307115,3,0,8
11127,5,2,0,3397,52351,1,0,8
11128,2,2,0,3395,50626,5,0,8
11129,7,1,0,3395,66208,1,0,8
11130,2,1,0,3396,4263,7,0,8
11131,5,1,0,3397,30316,1,0,2
11132,5,2,0,3397,13377,7,0,8
11133,2,2,0,3395,87769,5,0,8
11134,4,1,0,3396,70739,1,0,8
11135,2,1,0,3396,38321,1,0,8
11136,2,0,0,3396,6690,7,0,8
11137,5,1,0,3397,43272,1,0,8
11138,4,1,0,3395,304865,3,0,8
11139,5,4,0,3395,17446,7,0,8
11140,4,2,0,3397,150357,2,0,2
11141,2,0,0,3395,51596,3,0,8
11142,4,3,0,3396,155637,1,0,8
11143,2,0,0,3397,24531,1,0,8
11144,2,2,0,3397,25484,1,0,8
11145,5,2,0,3395,14702,1,0,8
11146,3,3,0,3397,26975,1,0,2
11147,1,0,0,3396,10637,6,0,2
11148,3,2,0,3397,133734,2,0,8
11149,4,1,0,3397,65319,3,0,3
11150,2,2,0,3395,12982,5,0,2
11151,4,2,0,3397,7281,1,0,8
11152,5,4,0,3396,38455,1,0,8
11153,4,1,0,3396,54868,3,0,8
11154,4,2,0,3395,9197,1,0,8
