Unnamed: 0.1,Unnamed: 0,household_id,persons,age_of_head,race_id,cars,children,type,hincp,adjinc,hht,maz,taz
1065161,1065161,1065162,1,75.0,4.0,1.0,1.0,1,0.0,1010145,6.0,22688.0,2109.0
1065162,1065162,1065163,1,75.0,4.0,1.0,0.0,1,8000.0,1054606,6.0,22688.0,2109.0
1065163,1065163,1065164,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22687.0,2109.0
1065164,1065164,1065165,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065165,1065165,1065166,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065166,1065166,1065167,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065167,1065167,1065168,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22686.0,2109.0
1065168,1065168,1065169,1,75.0,4.0,1.0,0.0,1,8000.0,1054606,6.0,22685.0,2109.0
1065169,1065169,1065170,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065170,1065170,1065171,1,75.0,4.0,1.0,0.0,1,8000.0,1054606,6.0,22688.0,2109.0
1065171,1065171,1065172,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065172,1065172,1065173,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065173,1065173,1065174,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065174,1065174,1065175,1,75.0,4.0,1.0,0.0,1,0.0,1010145,6.0,22688.0,2109.0
1065175,1065175,1065176,1,72.0,2.0,1.0,0.0,1,4900.0,1080470,6.0,22688.0,2109.0
1065176,1065176,1065177,1,65.0,2.0,1.0,0.0,1,8800.0,1054606,4.0,22687.0,2109.0
1065177,1065177,1065178,2,66.0,2.0,0.0,0.0,1,25100.0,1031452,3.0,22688.0,2109.0
1065178,1065178,1065179,1,78.0,2.0,0.0,0.0,1,9900.0,1073449,6.0,22688.0,2109.0
1065179,1065179,1065180,1,68.0,2.0,0.0,0.0,1,9000.0,1031452,6.0,22688.0,2109.0
1065180,1065180,1065181,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065181,1065181,1065182,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065182,1065182,1065183,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065183,1065183,1065184,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22686.0,2109.0
1065184,1065184,1065185,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065185,1065185,1065186,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065186,1065186,1065187,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22685.0,2109.0
1065187,1065187,1065188,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065188,1065188,1065189,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22686.0,2109.0
1065189,1065189,1065190,1,66.0,3.0,1.0,0.0,1,9500.0,1010145,6.0,22688.0,2109.0
1065190,1065190,1065191,1,84.0,3.0,0.0,0.0,1,9300.0,1010145,6.0,22688.0,2109.0
1065191,1065191,1065192,1,84.0,3.0,0.0,0.0,1,9300.0,1010145,6.0,22688.0,2109.0
1065192,1065192,1065193,1,84.0,3.0,0.0,0.0,1,9300.0,1010145,6.0,22688.0,2109.0
1065193,1065193,1065194,1,84.0,3.0,0.0,0.0,1,9300.0,1010145,6.0,22686.0,2109.0
1065194,1065194,1065195,2,74.0,1.0,1.0,0.0,1,28500.0,1073449,3.0,22688.0,2109.0
1065195,1065195,1065196,1,71.0,1.0,1.0,0.0,1,10400.0,1080470,6.0,22688.0,2109.0
1065196,1065196,1065197,1,78.0,1.0,1.0,0.0,1,23300.0,1031452,6.0,22688.0,2109.0
1065197,1065197,1065198,1,80.0,1.0,1.0,0.0,1,22500.0,1031452,6.0,22686.0,2109.0
1065198,1065198,1065199,1,71.0,1.0,1.0,0.0,1,8800.0,1073449,4.0,22688.0,2109.0
1065199,1065199,1065200,1,66.0,1.0,1.0,0.0,1,16300.0,1073449,4.0,22688.0,2109.0
1065200,1065200,1065201,1,88.0,1.0,0.0,0.0,1,23780.0,1010145,6.0,22688.0,2109.0
1065201,1065201,1065202,1,94.0,1.0,0.0,0.0,1,14020.0,1073449,6.0,22688.0,2109.0
1065202,1065202,1065203,1,88.0,1.0,0.0,0.0,1,23780.0,1010145,6.0,22688.0,2109.0
1065203,1065203,1065204,1,70.0,1.0,0.0,0.0,1,22400.0,1054606,4.0,22688.0,2109.0
1065204,1065204,1065205,2,49.0,4.0,2.0,0.0,1,57000.0,1031452,3.0,22685.0,2109.0
1065205,1065205,1065206,2,49.0,4.0,2.0,0.0,1,57000.0,1031452,3.0,22688.0,2109.0
1065206,1065206,1065207,2,49.0,4.0,2.0,0.0,1,57000.0,1031452,3.0,22687.0,2109.0
1065207,1065207,1065208,2,49.0,4.0,2.0,0.0,1,57000.0,1031452,3.0,22688.0,2109.0
1065208,1065208,1065209,5,59.0,4.0,1.0,0.0,1,27600.0,1010145,2.0,22687.0,2109.0
1065209,1065209,1065210,1,54.0,4.0,1.0,2.0,1,62000.0,1031452,4.0,22688.0,2109.0
1065210,1065210,1065211,1,54.0,4.0,1.0,0.0,1,62000.0,1031452,4.0,22688.0,2109.0
1065211,1065211,1065212,1,54.0,4.0,1.0,0.0,1,62000.0,1031452,4.0,22686.0,2109.0
