alternative,utility_1,utility_2,utility_3
PERID,1888694,1888695,1888696
0,6.90356148702,6.90356148702,6.90356148702
1,7.47028968063,7.47028968063,7.47028968063
2,4.96794863222,4.96794863222,4.96794863222
3,7.29788777408,7.29788777408,7.29788777408
4,7.15778789749,7.15778789749,7.15778789749
5,5.53453906485,5.53453906485,5.53453906485
6,6.36949078118,6.36949078118,6.36949078118
7,5.64844995131,5.64844995131,5.64844995131
8,6.88509255319,6.88509255319,6.88509255319
9,6.47684901246,6.47684901246,6.47684901246
10,6.63238616363,6.63238616363,6.63238616363
11,6.68188372283,6.68188372283,6.68188372283
12,6.88300012608,6.88300012608,6.88300012608
13,7.21434781378,7.21434781378,7.21434781378
14,6.32841308158,6.32841308158,6.32841308158
15,7.97058763065,7.97058763065,7.97058763065
16,7.23699982482,7.23699982482,7.23699982482
17,6.70492001341,6.70492001341,6.70492001341
18,7.10032953385,7.10032953385,7.10032953385
19,6.80482525007,6.80482525007,6.80482525007
20,6.97393615887,6.97393615887,6.97393615887
21,6.72763080137,6.72763080137,6.72763080137
22,5.39600156778,5.39600156778,5.39600156778
23,6.34295140674,6.34295140674,6.34295140674
24,4.44026711635,4.44026711635,4.44026711635
