label,value
tour_id,86
person_id,1888696
tour_type,othmaint
destination_in_cbd,False
household_id,961042
age,8
RELATE,3
ESR,0
GRADE,3
PNUM,3
PAUG,0
DDP,0
sex,1
WEEKS,0
HOURS,0
MSP,0
POVERTY,243
EARNS,0
pagecat,1
pemploy,4
pstudent,1
ptype,7
padkid,2
has_preschool_kid,False
student_cat,grade_or_high
num_eat_j,0
has_driving_kid,False
home_taz_x,21
work_and_school_and_worker,False
work_and_school_and_student,False
female,False
has_preschool_kid_at_home,False
has_full_time,True
is_university,False
max_window,0
employed_cat,child
student_is_employed,False
is_highschool,False
distance_to_work,0.91
has_retiree,False
cdap_activity,Mandatory
num_main_j,0
num_joint_tours,0
has_non_worker,False
ptype_cat,school
is_student,True
under16_not_at_school,False
has_school_kid,True
school_taz,11.0
is_worker,False
roundtrip_auto_time_to_school,2.54
distance_to_school,0.45
age_16_p,False
workplace_taz,7
workplace_in_cbd,True
has_university,False
adult,False
non_mandatory_tour_frequency,8.0
nonstudent_to_school,False
age_16_to_19,False
num_non_escort_tours,1.0
mandatory_tour_frequency,work1
num_shop_j,0
num_mand,1.0
num_visi_j,0
num_escort_tours,0.0
roundtrip_auto_time_to_work,5.220000000000001
num_disc_j,0
has_part_time,False
has_school_kid_at_home,False
male,True
is_gradeschool,True
TAZ,21
SERIALNO,4443533
PUMA5,2203
income,32600
PERSONS,3
HHT,3
UNITTYPE,0
NOC,2
BLDGSZ,6
TENURE,3
VEHICL,1
hinccat1,2
hinccat2,4
hhagecat,1
hsizecat,3
hfamily,2
hunittype,0
hNOCcat,1
hwrkrcat,1
h0004,0
h0511,1
h1215,1
h1617,0
h1824,0
h2534,0
h3549,1
h5064,0
h6579,0
h80up,0
workers,1
hwork_f,1
hwork_p,0
huniv,0
hnwork,0
hretire,0
hpresch,0
hschpred,2
hschdriv,0
htypdwel,2
hownrent,2
hadnwst,0
hadwpst,0
hadkids,0
bucketBin,0
originalPUMA,2203
hmultiunit,1
family,True
num_young_adults,0.0
auto_ownership,1
home_taz_y,21
drivers,1
hhsize,3
num_under16_not_at_school,3
num_children,2.0
car_sufficiency,-2
num_adolescents,0.0
income_in_thousands,32.6
num_college_age,0.0
non_workers,2
household_type,family_female
home_is_rural,False
work_tour_auto_time_savings,0
non_family,False
chunk_id,3
income_segment,2
no_cars,False
num_young_children,0.0
home_is_urban,True
DISTRICT,1
SD,1
COUNTY,1
TOTHH,2398
HHPOP,3969
TOTPOP,4357
EMPRES,1616
SFDU,167
MFDU,2231
HHINCQ1,1578
HHINCQ2,373
HHINCQ3,201
HHINCQ4,246
TOTACRE,78.9
RESACRE,14
CIACRE,44
SHPOP62P,0.39
TOTEMP,11376
AGE0004,91
AGE0519,235
AGE2044,1404
AGE4564,1024
AGE65P,1603
RETEMPN,782
FPSEMPN,2988
HEREMPN,3316
OTHEMPN,2488
AGREMPN,18
MWTEMPN,1784
PRKCST,179.80569
OPRKCST,518.95142
area_type,1
HSENROLL,0.0
COLLFTE,0.0
COLLPTE,0.0
TOPOLOGY,3
TERMINAL,4.5982
ZERO,0
hhlds,2398
sftaz,21
gqpop,388
employment_density,144.18250950570342
total_acres,78.9
total_households,2398
density_index,25.101615928174592
county_name,San Francisco
household_density,30.39290240811153
county_id,1
total_employment,11376
AUTOPEAKRETAIL,10.5848
AUTOPEAKTOTAL,13.0776
AUTOOFFPEAKRETAIL,10.5861
AUTOOFFPEAKTOTAL,13.0778
TRANSITPEAKRETAIL,7.8962
TRANSITPEAKTOTAL,10.582
TRANSITOFFPEAKRETAIL,7.7262
TRANSITOFFPEAKTOTAL,10.385
NONMOTORIZEDRETAIL,8.3761
NONMOTORIZEDTOTAL,10.9536
mode_choice_logsums,0
