MAZ,TAZ,HHID,MTCCountyID,HHINCADJ,NWRKRS_ESR,VEH,NP,HHT,BLD,TYPE,SampleRate
100004,4,1216,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
100004,4,1217,1,6909.707545917701,0,1,1,4,9,1,0.3020833333333333
100004,4,1218,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1219,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1220,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1221,1,47380.85174343568,1,0,1,4,5,1,0.3020833333333333
100004,4,1222,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1223,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
100004,4,1224,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1225,1,0.0,0,0,1,6,8,1,0.3020833333333333
100004,4,1226,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1227,1,10.076239999999999,0,1,1,4,4,1,0.3020833333333333
100004,4,1228,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1229,1,47438.50471837899,1,0,1,6,7,1,0.3020833333333333
100004,4,1230,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1231,1,144.37805783854472,0,1,1,6,9,1,0.3020833333333333
100004,4,1232,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1233,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1234,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
100004,4,1235,1,0.0,0,0,1,4,8,1,0.3020833333333333
100004,4,1236,1,0.0,0,0,1,4,8,1,0.3020833333333333
100004,4,1237,1,36274.464,1,1,1,6,7,1,0.3020833333333333
100004,4,1238,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1239,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1240,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1241,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1242,1,2138.424925116717,0,2,1,4,5,1,0.3020833333333333
100004,4,1243,1,0.0,0,0,1,4,8,1,0.3020833333333333
100004,4,1244,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1245,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1246,1,10.076239999999999,0,1,1,4,4,1,0.3020833333333333
100004,4,1247,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
100004,4,1248,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1249,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1250,1,10.076239999999999,0,1,1,4,4,1,0.3020833333333333
100004,4,1251,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1252,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1253,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1254,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1255,1,49355.05389941217,1,1,1,6,8,1,0.3020833333333333
100004,4,1256,1,10.076239999999999,0,1,1,4,4,1,0.3020833333333333
100004,4,1257,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1258,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1259,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1260,1,0.0,0,2,1,6,7,1,0.3020833333333333
100004,4,1261,1,6909.707545917701,0,1,1,4,9,1,0.3020833333333333
100004,4,1262,1,0.0,0,0,1,4,8,1,0.3020833333333333
100004,4,1263,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
100004,4,1264,1,3356.143665160027,0,0,1,6,8,1,0.3020833333333333
100004,4,1265,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1266,1,-9.0,0,-9,1,-9,-9,3,0.3020833333333333
100004,4,1267,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
100004,4,1268,1,-9.0,1,-9,1,-9,-9,3,0.3020833333333333
